"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.46073972e+00, -2.72081495e+00, -2.94196990e+00, -8.93818398e-01, 2.02302667e+00, 5.0000000000, 8.0000000000, 0.0076725642
           1, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.57742660e+00, -2.39663669e+00, -2.06268910e+00, -9.88532562e-01, 1.90789785e+00, 5.0000000000, 8.0000000000, 0.0082000891
           2, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.65327626e+00, -2.12157228e+00, -2.11084705e+00, -1.06549282e+00, 1.83160017e+00, 5.0000000000, 8.0000000000, 0.0087761879
           3, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.69424673e+00, -2.00986605e+00, -2.16693908e+00, -1.10748849e+00, 1.79363219e+00, 5.0000000000, 8.0000000000, 0.0093224406
           4, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.71771067e+00, -1.96014612e+00, -2.19832878e+00, -1.12669730e+00, 1.77612337e+00, 5.0000000000, 8.0000000000, 0.0098597685
           5, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.73780354e+00, -1.93749603e+00, -2.19502924e+00, -1.14016769e+00, 1.76184901e+00, 5.0000000000, 8.0000000000, 0.0103707711
           6, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.76077749e+00, -1.92693267e+00, -2.20732487e+00, -1.15587965e+00, 1.74331692e+00, 5.0000000000, 8.0000000000, 0.0109316627
           7, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.78822886e+00, -1.91813725e+00, -2.24467734e+00, -1.17620776e+00, 1.71896326e+00, 5.0000000000, 8.0000000000, 0.0114941676
           8, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.81922364e+00, -1.91004993e+00, -2.24766945e+00, -1.19783525e+00, 1.69048895e+00, 5.0000000000, 8.0000000000, 0.0120379130
           9, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.85224523e+00, -1.90500487e+00, -2.20062149e+00, -1.21304841e+00, 1.65990798e+00, 5.0000000000, 8.0000000000, 0.0125782887
