X, P, T, M, alpha, eta, rhou_x, rho, P_tot, T_tot
-0.049, 152012.657952, 306.291772832, 0.166993012842, -4.12589177295e-07, -0.000255166653886, 101.294336187, 1.72891935825, 154980.066079, 308.00007628
-0.0481672240803, 152012.747393, 306.291759257, 0.166993642085, -4.91906896955e-07, -0.000468531830819, 101.294718964, 1.72892043368, 154980.180762, 308.000076212
-0.0473344481605, 152012.836834, 306.291745682, 0.166994271324, -5.71224017158e-07, -0.000681895395211, 101.29510174, 1.72892150909, 154980.295443, 308.000076144
-0.0465016722408, 152012.926274, 306.291732107, 0.166994900557, -6.50540537913e-07, -0.000895257347082, 101.295484517, 1.7289225845, 154980.410123, 308.000076076
-0.0456688963211, 152013.015714, 306.291718533, 0.166995529786, -7.29856459226e-07, -0.00110861768645, 101.295867294, 1.7289236599, 154980.524803, 308.000076008
-0.0448361204013, 152012.887893, 306.291724909, 0.166995078575, -7.2030962492e-07, -0.000846188911213, 101.295379313, 1.7289221831, 154980.380761, 308.000074588
-0.0440033444816, 152012.733014, 306.29173377, 0.166994492803, -6.99695842292e-07, -0.000524503001697, 101.294782891, 1.72892038843, 154980.204497, 308.000072999
-0.0431705685619, 152012.578133, 306.291742632, 0.166993907023, -6.79081816916e-07, -0.000202813303993, 101.294186469, 1.72891859374, 154980.028231, 308.00007141
-0.0423377926421, 152012.42325, 306.291751493, 0.166993321237, -6.58467548786e-07, 0.000118880181964, 101.293590046, 1.72891679903, 154979.851963, 308.000069822
-0.0415050167224, 152012.268365, 306.291760355, 0.166992735444, -6.37853037899e-07, 0.000440577456242, 101.292993624, 1.7289150043, 154979.675692, 308.000068233
-0.0406722408027, 152012.113478, 306.291769217, 0.166992149644, -6.17238284251e-07, 0.000762278518908, 101.292397202, 1.72891320955, 154979.49942, 308.000066644
-0.0398394648829, 152011.95859, 306.291778079, 0.166991563837, -5.96623287836e-07, 0.00108398337003, 101.291800779, 1.72891141478, 154979.323146, 308.000065056
-0.0390066889632, 152011.803699, 306.291786941, 0.166990978023, -5.76008048652e-07, 0.00140569200967, 101.291204357, 1.72890961998, 154979.146869, 308.000063467
-0.0381739130435, 152011.648807, 306.291795803, 0.166990392202, -5.55392566692e-07, 0.0017274044379, 101.290607935, 1.72890782517, 154978.97059, 308.000061878
-0.0373411371237, 152011.493913, 306.291804665, 0.166989806375, -5.34776841954e-07, 0.00204912065479, 101.290011512, 1.72890603033, 154978.79431, 308.000060289
-0.036508361204, 152011.403472, 306.291805187, 0.166989643353, -3.4985994436e-07, 0.00222179276177, 101.289690434, 1.72890501509, 154978.699275, 308.000059274
-0.0356755852843, 152011.600555, 306.291768508, 0.166991366425, 5.67972222171e-07, 0.0017295885086, 101.290597632, 1.72890747756, 154978.966671, 308.000060814
-0.0348428093645, 152011.797634, 306.291731829, 0.166993089466, 1.48578794793e-06, 0.0012373930721, 101.29150483, 1.72890993998, 154979.234062, 308.000062354
-0.0340100334448, 152011.994709, 306.291695151, 0.166994812477, 2.40358723335e-06, 0.000745206452031, 101.292412028, 1.72891240236, 154979.501449, 308.000063894
-0.0331772575251, 152012.191781, 306.291658474, 0.166996535456, 3.32137007888e-06, 0.000253028648151, 101.293319226, 1.7289148647, 154979.768831, 308.000065435
-0.0323444816054, 152012.38885, 306.291621797, 0.166998258404, 4.23913648497e-06, -0.000239140339774, 101.294226424, 1.728917327, 154980.036208, 308.000066975
-0.0315117056856, 152012.585915, 306.291585121, 0.166999981322, 5.15688645204e-06, -0.000731300511982, 101.295133622, 1.72891978925, 154980.30358, 308.000068515
-0.0306789297659, 152012.782976, 306.291548445, 0.167001704209, 6.07461998055e-06, -0.00122345186871, 101.29604082, 1.72892225145, 154980.570947, 308.000070055
-0.0298461538462, 152012.980034, 306.29151177, 0.167003427065, 6.99233707094e-06, -0.00171559441019, 101.296948018, 1.72892471361, 154980.83831, 308.000071595
-0.0290133779264, 152013.100324, 306.291482087, 0.167004775994, 7.35204517449e-06, -0.00203979897256, 101.29754647, 1.72892625924, 154981.014626, 308.000072833
-0.0281806020067, 152012.725322, 306.291497511, 0.167003712517, 4.11153033154e-06, -0.00128050970501, 101.296152896, 1.72892189161, 154980.603528, 308.000072115
-0.027347826087, 152012.35031, 306.291512935, 0.167002649011, 8.70926325137e-07, -0.000521199545451, 101.294759323, 1.72891752387, 154980.192419, 308.000071397
-0.0265150501672, 152011.975288, 306.291528359, 0.167001585476, -2.3697668484e-06, 0.000238131506974, 101.293365749, 1.728913156, 154979.781299, 308.00007068
-0.0256822742475, 152011.600256, 306.291543783, 0.167000521912, -5.61054919275e-06, 0.000997483453129, 101.291972176, 1.72890878801, 154979.370168, 308.000069962
