"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.25794544e+00, -3.51809447e+00, -4.01224049e+00, -1.69102371e+00, 1.22582102e+00, 5.0000000000, 8.0000000000, 0.0898247759
           1, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.42777405e+00, -3.03878439e+00, -3.10785763e+00, -1.84786938e+00, 1.05745659e+00, 5.0000000000, 8.0000000000, 0.0973741372
           2, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.52046802e+00, -2.83912400e+00, -3.11845466e+00, -1.92988189e+00, 9.67302207e-01, 5.0000000000, 8.0000000000, 0.1052771370
           3, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.55994320e+00, -2.77916037e+00, -3.12995356e+00, -1.96230780e+00, 9.35761933e-01, 5.0000000000, 8.0000000000, 0.1137900949
           4, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.58481215e+00, -2.76272196e+00, -3.13855447e+00, -1.98629509e+00, 9.16611243e-01, 5.0000000000, 8.0000000000, 0.1219613353
           5, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.60763625e+00, -2.75659001e+00, -3.15047293e+00, -2.01026524e+00, 8.96619665e-01, 5.0000000000, 8.0000000000, 0.1299108624
           6, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.62767346e+00, -2.75187942e+00, -3.16515054e+00, -2.03037434e+00, 8.78551621e-01, 5.0000000000, 8.0000000000, 0.1381707311
           7, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.64452889e+00, -2.74814410e+00, -3.18102111e+00, -2.04618798e+00, 8.63541208e-01, 5.0000000000, 8.0000000000, 0.1462946653
           8, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.65941394e+00, -2.74556229e+00, -3.19689947e+00, -2.05988909e+00, 8.50274833e-01, 5.0000000000, 8.0000000000, 0.1540786783
           9, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.67340242e+00, -2.74375206e+00, -3.21199534e+00, -2.07295963e+00, 8.37526093e-01, 5.0000000000, 8.0000000000, 0.1616190036
