"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.18280276e+00, -2.44288581e+00, -2.57279418e+00, -6.15880203e-01, 2.30096368e+00, 5.0000000000, 8.0000000000, 0.0033465266
           1, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.28168322e+00, -2.20079928e+00, -1.74025781e+00, -6.86489560e-01, 2.20358443e+00, 5.0000000000, 8.0000000000, 0.0035593947
           2, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.34927593e+00, -1.88003455e+00, -1.80015933e+00, -7.61457980e-01, 2.13502063e+00, 5.0000000000, 8.0000000000, 0.0038006425
           3, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.39096458e+00, -1.75123675e+00, -1.86723874e+00, -8.10008929e-01, 2.09408942e+00, 5.0000000000, 8.0000000000, 0.0040063818
           4, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.41976499e+00, -1.69210453e+00, -1.89728720e+00, -8.32831449e-01, 2.06960620e+00, 5.0000000000, 8.0000000000, 0.0042288144
           5, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.44436396e+00, -1.66186371e+00, -1.86125382e+00, -8.42718550e-01, 2.05123918e+00, 5.0000000000, 8.0000000000, 0.0044318676
           6, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.46972640e+00, -1.64242963e+00, -1.80514732e+00, -8.49965686e-01, 2.03181982e+00, 5.0000000000, 8.0000000000, 0.0046199242
           7, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.49779917e+00, -1.62032826e+00, -1.86947988e+00, -8.62399267e-01, 2.00827781e+00, 5.0000000000, 8.0000000000, 0.0048229178
           8, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.52833727e+00, -1.59935010e+00, -1.91316902e+00, -8.83807892e-01, 1.98057797e+00, 5.0000000000, 8.0000000000, 0.0050455968
           9, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.56167314e+00, -1.58562625e+00, -1.88902120e+00, -9.09369016e-01, 1.94882070e+00, 5.0000000000, 8.0000000000, 0.0052343965
