"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.92078824e+00, -3.18084200e+00, -3.55447576e+00, -1.35386787e+00, 1.56297809e+00, 5.0000000000, 8.0000000000, 0.0313992143
           1, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.06492741e+00, -2.76270356e+00, -2.66727855e+00, -1.48251776e+00, 1.42038906e+00, 5.0000000000, 8.0000000000, 0.0339231253
           2, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.15065481e+00, -2.53228794e+00, -2.67918671e+00, -1.56154327e+00, 1.33558145e+00, 5.0000000000, 8.0000000000, 0.0364374836
           3, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.18984631e+00, -2.44909523e+00, -2.69604367e+00, -1.59530343e+00, 1.30266914e+00, 5.0000000000, 8.0000000000, 0.0389687101
           4, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.21164252e+00, -2.41769741e+00, -2.70994943e+00, -1.61488410e+00, 1.28742823e+00, 5.0000000000, 8.0000000000, 0.0415134947
           5, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.23216399e+00, -2.40749661e+00, -2.72694501e+00, -1.63559801e+00, 1.27105948e+00, 5.0000000000, 8.0000000000, 0.0440523267
           6, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.25449179e+00, -2.40162766e+00, -2.74872478e+00, -1.65811343e+00, 1.25108613e+00, 5.0000000000, 8.0000000000, 0.0465721607
           7, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.27639538e+00, -2.39639937e+00, -2.77230033e+00, -1.67855456e+00, 1.23112189e+00, 5.0000000000, 8.0000000000, 0.0491079847
           8, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.29674434e+00, -2.39203517e+00, -2.78991449e+00, -1.69571986e+00, 1.21272820e+00, 5.0000000000, 8.0000000000, 0.0516427477
           9, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.31591775e+00, -2.38892522e+00, -2.79825769e+00, -1.71092284e+00, 1.19541527e+00, 5.0000000000, 8.0000000000, 0.0541599512
          10, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.33470562e+00, -2.38713296e+00, -2.77770985e+00, -1.72545866e+00, 1.17820691e+00, 5.0000000000, 8.0000000000, 0.0566920519
          11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.35381241e+00, -2.38605995e+00, -2.76907130e+00, -1.73971740e+00, 1.16034588e+00, 5.0000000000, 8.0000000000, 0.0592072646
          12, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.37367767e+00, -2.38548042e+00, -2.76175773e+00, -1.75335079e+00, 1.14142409e+00, 5.0000000000, 8.0000000000, 0.0617444317
          13, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.39445505e+00, -2.38515058e+00, -2.75974610e+00, -1.76638987e+00, 1.12135481e+00, 5.0000000000, 8.0000000000, 0.0642583728
          14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.41604378e+00, -2.38514922e+00, -2.74616645e+00, -1.77884689e+00, 1.10029903e+00, 5.0000000000, 8.0000000000, 0.0667691271
          15, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.43788378e+00, -2.38497850e+00, -2.75099292e+00, -1.79100753e+00, 1.07881848e+00, 5.0000000000, 8.0000000000, 0.0692768971
          16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.45902946e+00, -2.38445030e+00, -2.74548707e+00, -1.80436315e+00, 1.05780688e+00, 5.0000000000, 8.0000000000, 0.0718026082
          17, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.47867312e+00, -2.38341468e+00, -2.74833994e+00, -1.82038045e+00, 1.03810543e+00, 5.0000000000, 8.0000000000, 0.0743170977
          18, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.49635282e+00, -2.38289146e+00, -2.74100717e+00, -1.83865495e+00, 1.02019504e+00, 5.0000000000, 8.0000000000, 0.0768565734
          19, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.51185791e+00, -2.38336604e+00, -2.72984705e+00, -1.85878048e+00, 1.00433254e+00, 5.0000000000, 8.0000000000, 0.0793727318
          20, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.52496789e+00, -2.38495658e+00, -2.71712251e+00, -1.88051362e+00, 9.90732257e-01, 5.0000000000, 8.0000000000, 0.0819199920
          21, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.53548950e+00, -2.38760260e+00, -2.70471182e+00, -1.90340559e+00, 9.79573349e-01, 5.0000000000, 8.0000000000, 0.0844362179
          22, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.54319746e+00, -2.39123821e+00, -2.69319316e+00, -1.92657248e+00, 9.71099597e-01, 5.0000000000, 8.0000000000, 0.0869633714
          23, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.54788109e+00, -2.39583552e+00, -2.68240105e+00, -1.94852035e+00, 9.65620484e-01, 5.0000000000, 8.0000000000, 0.0894905845
          24, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.54950567e+00, -2.40135048e+00, -2.67224867e+00, -1.96711943e+00, 9.63371800e-01, 5.0000000000, 8.0000000000, 0.0920344989
          25, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.54838354e+00, -2.40775547e+00, -2.66000764e+00, -1.97992503e+00, 9.64307895e-01, 5.0000000000, 8.0000000000, 0.0945609291
          26, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.54521146e+00, -2.41493579e+00, -2.64697793e+00, -1.98494861e+00, 9.67975321e-01, 5.0000000000, 8.0000000000, 0.0971023043
