X, P, T, M, alpha, eta, rhou_x, rho, P_tot, T_tot
-0.049, 151996.52872, 306.28271793, 0.167433634039, 2.18123335575e-12, 0.000107748770841, 101.552307934, 1.72878711195, 154979.301234, 307.999997863
-0.0481672240803, 151996.485704, 306.282720223, 0.167433560147, 2.3051683654e-12, 0.000196587541314, 101.552167124, 1.72878667153, 154979.256082, 307.99999941
-0.0473344481605, 151996.442687, 306.282722517, 0.167433486254, 2.42910371874e-12, 0.000285426558151, 101.552026314, 1.7287862311, 154979.21093, 308.000000957
-0.0465016722408, 151996.480284, 306.282713591, 0.167433910149, 2.57123327307e-12, 0.000185252231157, 101.552202931, 1.72878668593, 154979.266097, 308.000001762
-0.0456688963211, 151996.52155, 306.282704155, 0.167434356709, 2.7141907472e-12, 7.64717707828e-05, 101.552394003, 1.72878718151, 154979.325831, 308.000002532
-0.0448361204013, 151996.562816, 306.282694719, 0.167434803267, 2.85714768338e-12, -3.23082802497e-05, 101.552585074, 1.72878767709, 154979.385565, 308.000003303
-0.0440033444816, 151996.604083, 306.282685283, 0.167435249823, 3.00010408161e-12, -0.000141087921943, 101.552776146, 1.72878817268, 154979.445299, 308.000004074
-0.0431705685619, 151996.645349, 306.282675847, 0.167435696377, 3.1430599419e-12, -0.000249867154299, 101.552967218, 1.72878866825, 154979.505033, 308.000004844
-0.0423377926421, 151996.633966, 306.282669528, 0.167435897881, 3.10530100761e-12, -0.000248962529999, 101.55295528, 1.7287885642, 154979.502859, 308.000004013
-0.0415050167224, 151996.557539, 306.282667061, 0.167435796648, 2.84428368777e-12, -0.000112552610939, 101.55269254, 1.72878771935, 154979.424205, 308.000001201
-0.0406722408027, 151996.481111, 306.282664593, 0.167435695414, 2.5832650173e-12, 2.38580139676e-05, 101.552429801, 1.72878687449, 154979.34555, 307.99999839
-0.0398394648829, 151996.404683, 306.282662125, 0.167435594179, 2.3222449962e-12, 0.000160269344727, 101.552167062, 1.72878602963, 154979.266895, 307.999995579
-0.0390066889632, 151996.328255, 306.282659658, 0.167435492944, 2.06122362445e-12, 0.000296681381343, 101.551904323, 1.72878518476, 154979.188239, 307.999992767
-0.0381739130435, 151996.304558, 306.282651484, 0.167435735629, 1.95234697628e-12, 0.000314807900064, 101.551862771, 1.72878495674, 154979.176015, 307.999991538
-0.0373411371237, 151996.375898, 306.282633025, 0.167436598155, 2.11768040507e-12, 0.000119749535533, 101.552219864, 1.72878584045, 154979.283522, 307.999993162
-0.036508361204, 151996.447237, 306.282614567, 0.167437460675, 2.28301267111e-12, -7.53074572163e-05, 101.552576958, 1.72878672415, 154979.391027, 307.999994785
-0.0356755852843, 151996.518576, 306.282596109, 0.167438323189, 2.44834377443e-12, -0.000270363078198, 101.552934051, 1.72878760784, 154979.498532, 307.999996408
-0.0348428093645, 151996.589915, 306.282577651, 0.167439185696, 2.61367371504e-12, -0.000465417327427, 101.553291144, 1.72878849153, 154979.606036, 307.999998032
-0.0340100334448, 151996.520014, 306.282570824, 0.167439378273, -1.37719852879e-12, -0.000355509603295, 101.553094725, 1.72878775501, 154979.546635, 307.999998157
-0.0331772575251, 151996.37616, 306.282570087, 0.167439220079, -7.54428121874e-12, -8.59240067882e-05, 101.55260849, 1.72878617017, 154979.399845, 307.999997497
-0.0323444816054, 151996.232304, 306.282569349, 0.167439061883, -1.37114229651e-11, 0.000183664171287, 101.552122255, 1.7287845853, 154979.253052, 307.999996838
-0.0315117056856, 151996.088448, 306.282568612, 0.167438903685, -1.98786237686e-11, 0.000453254930968, 101.55163602, 1.72878300043, 154979.106258, 307.999996178
-0.0306789297659, 151996.030199, 306.282556076, 0.167439304292, -2.25658356272e-11, 0.000522492823345, 101.551514028, 1.72878243317, 154979.067306, 307.999995529
-0.0298461538462, 151996.154642, 306.282518364, 0.167440897393, -1.78265714756e-11, 0.00016416955227, 101.55216934, 1.72878403756, 154979.258491, 307.999994901
-0.0290133779264, 151996.279083, 306.282480652, 0.167442490474, -1.30873684882e-11, -0.00019414909434, 101.552824653, 1.72878564193, 154979.449674, 307.999994274
-0.0281806020067, 151996.403523, 306.28244294, 0.167444083535, -8.34822666385e-12, -0.000552463116576, 101.553479965, 1.72878724628, 154979.640854, 307.999993646
-0.027347826087, 151996.407323, 306.282417191, 0.167445064748, 9.68327969055e-12, -0.000643646216728, 101.553642394, 1.72878742425, 154979.687887, 307.999992892
-0.0265150501672, 151996.154789, 306.282416857, 0.167444745929, 5.59592676673e-11, -0.000167227804821, 101.552757537, 1.72878457145, 154979.428634, 307.999991869
-0.0256822742475, 151995.90225, 306.282416523, 0.167444427106, 1.02236062082e-10, 0.000309198909495, 101.551872679, 1.72878171859, 154979.169377, 307.999990846
-0.0248494983278, 151995.649707, 306.282416189, 0.167444108276, 1.48513662957e-10, 0.000785633926435, 101.550987821, 1.72877886569, 154978.910115, 307.999989823
-0.024016722408, 151995.703728, 306.282375582, 0.167445773416, 2.98429050069e-11, 0.000551044438383, 101.55142139, 1.72877970045, 154979.036236, 307.999990291
-0.0231839464883, 151995.933381, 306.282311903, 0.167448575149, -1.83325431322e-10, -9.08924178023e-05, 101.552610305, 1.72878264789, 154979.383143, 307.999991614
-0.0223511705686, 151996.163029, 306.282248225, 0.167451376816, -3.96488776425e-10, -0.000732814243368, 101.55379922, 1.72878559526, 154979.730043, 307.999992937
-0.0215183946488, 151996.226674, 306.282201501, 0.167453312887, -4.82257009391e-10, -0.00100554164429, 101.554306825, 1.72878655894, 154979.877435, 307.999993929
-0.0206856187291, 151995.77712, 306.282207185, 0.16745257308, -1.74183858588e-10, -0.000136908245113, 101.552708127, 1.72878138999, 154979.408057, 307.999993899
-0.0198528428094, 151995.327551, 306.28221287, 0.167451833249, 1.33898992078e-10, 0.000731752503495, 101.55110943, 1.72877622089, 154978.938664, 307.99999387
-0.0190200668896, 151994.988244, 306.282204418, 0.167451782913, 5.65108559109e-10, 0.00134580324868, 101.549979361, 1.72877239026, 154978.60688, 307.999994128
-0.0181872909699, 151995.417513, 306.282097431, 0.167456538163, 1.85437718658e-09, 0.000185154341303, 101.55211549, 1.72877788933, 154979.234267, 307.999996392
-0.0173545150502, 151995.846764, 306.28199045, 0.167461293213, 3.14359157617e-09, -0.00097544573907, 101.554251618, 1.72878338817, 154979.861628, 307.999998656
-0.0165217391304, 151995.960376, 306.281916177, 0.167464361011, 1.68235517307e-09, -0.00143251114469, 101.555091262, 1.72878510438, 154980.107736, 307.999999665
-0.0156889632107, 151995.174972, 306.281935058, 0.167462623437, -7.61319059179e-09, 0.000114236486817, 101.55223813, 1.72877604677, 154979.267955, 307.9999971
-0.014856187291, 151994.389524, 306.28195394, 0.167460885765, -1.69092586921e-08, 0.00166107103319, 101.549384998, 1.72876698864, 154978.428127, 307.999994534
-0.0140234113712, 151994.594908, 306.281848663, 0.16746521116, -6.41122071367e-09, 0.000929262163911, 101.550716245, 1.72876992459, 154978.818474, 307.999993727
-0.0131906354515, 151995.383021, 306.281670371, 0.167473102105, 1.57275794542e-08, -0.00114263925043, 101.554508533, 1.72877991443, 154979.9323, 307.999993955
-0.0123578595318, 151995.703773, 306.281543979, 0.167478423053, 3.72392578869e-08, -0.00216144902009, 101.556372909, 1.72878428442, 154980.478799, 307.999994182
-0.011525083612, 151994.349845, 306.281603525, 0.167474536097, 5.65100982076e-08, 0.000593154214298, 101.551328634, 1.72876851718, 154978.992464, 307.999994409
-0.0106923076923, 151993.023116, 306.281659712, 0.167470812978, 7.22620939356e-08, 0.0032853646896, 101.546399094, 1.72875307845, 154977.539776, 307.999994662
-0.00985953177258, 151994.464392, 306.281375038, 0.167483721012, -2.68536423878e-07, -0.000368753307275, 101.553089655, 1.72877106685, 154979.509466, 307.999997551
-0.00902675585284, 151995.905477, 306.281090402, 0.167496627345, -6.09290039405e-07, -0.00402238985178, 101.559780216, 1.72878905289, 154981.478897, 308.000000441
-0.00819397993311, 151993.619682, 306.281221897, 0.167488674263, 6.65533840711e-07, 0.000729187581117, 101.551060053, 1.72876227605, 154978.907336, 307.999995751
-0.00736120401338, 151992.008177, 306.281271675, 0.167484742372, 1.47479838032e-06, 0.00393903661128, 101.545172883, 1.72874364582, 154977.168344, 307.99999234
-0.00652842809365, 151994.599462, 306.280814403, 0.167505785992, -5.59883461647e-07, -0.00245308585971, 101.556920825, 1.72877577596, 154980.614768, 307.999996933
-0.00569565217391, 151994.161962, 306.280707651, 0.167509565998, -4.39403413619e-06, -0.00197381181517, 101.556053957, 1.72877143934, 154980.356448, 307.999999536
-0.00486287625418, 151990.200155, 306.281008697, 0.1674932607, -1.03235932908e-05, 0.00650082333124, 101.540509909, 1.72872467026, 154975.787396, 307.999999825
-0.00403010033445, 151994.243678, 306.280325076, 0.167524179936, 4.4251313791e-05, -0.00337673646891, 101.558515217, 1.72877448145, 154981.081488, 307.999988333
-0.00319732441472, 151992.744505, 306.280302663, 0.167523348428, -5.80652751322e-05, -0.000614384009627, 101.553454991, 1.72875755217, 154979.58795, 307.999988471
-0.00236454849498, 151990.043073, 306.28041166, 0.167516277814, -0.00010986006451, 0.00485032252907, 101.543548996, 1.72872617788, 154976.649913, 307.999995171
-0.00153177257525, 151995.35449, 306.279466361, 0.167559892717, 0.000437608181286, -0.00828080726611, 101.569253455, 1.72879176734, 154983.707948, 307.999991964
-0.000698996655518, 151979.238154, 306.278985821, 0.16758193825, 0.000265390706691, 0.0205892472192, 101.56824133, 1.728611249, 154968.118463, 307.999997855
0.000133779264214, 151921.854678, 306.241968086, 0.16936906775, -0.00295544487118, 0.00756995256622, 102.59906218, 1.72816735394, 154974.21565, 307.999997003
0.000966555183946, 151689.088013, 306.096994644, 0.176259890518, 0.0501345598685, -0.0279219822351, 106.640905555, 1.72633669919, 154989.615597, 307.999995503
0.00179933110368, 151384.27527, 305.945415389, 0.183180714069, 0.136275694147, 0.0517433596034, 110.620716134, 1.7237215159, 154942.338952, 307.999994234
0.00263210702341, 151135.784369, 305.763742218, 0.19119014917, 0.286547565991, -0.0733269826586, 115.333536953, 1.72191435766, 155004.366776, 307.999991788
0.00346488294314, 150763.781734, 305.606550479, 0.197869669682, 0.508809269742, 0.117286085604, 119.123895366, 1.71855995536, 154896.356121, 307.999991628
0.00429765886288, 150654.769665, 305.498278608, 0.202330966119, 0.743549509579, -0.0310836621691, 121.736977526, 1.7179259665, 154972.694442, 307.99999432
0.00513043478261, 150360.113516, 305.337734499, 0.208750815165, 1.0980555058, 0.00294356190244, 125.343211969, 1.71546699143, 154948.425587, 307.999998375
0.00596321070234, 150117.55974, 305.209557678, 0.213785435894, 1.49011508646, 0.0444312948308, 128.195239476, 1.71341916065, 154921.13452, 307.999994244
0.00679598662207, 149925.52555, 305.102543682, 0.217889725872, 1.91456602195, 0.0594866217037, 130.491137827, 1.71182755114, 154908.715083, 307.999987144
0.00762876254181, 149721.398025, 304.964786968, 0.223047672041, 2.42133509647, -0.00310415809353, 133.36761774, 1.71026903116, 154936.72295, 307.999995715
