"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.11094015e+00, -3.37108804e+00, -3.81612981e+00, -1.54401840e+00, 1.37282631e+00, 5.0000000000, 8.0000000000, 0.0587415695
           1, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.27384372e+00, -2.90633970e+00, -2.91777050e+00, -1.69279853e+00, 1.21141888e+00, 5.0000000000, 8.0000000000, 0.0647841533
           2, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.36478584e+00, -2.69852007e+00, -2.92320165e+00, -1.77419154e+00, 1.12254044e+00, 5.0000000000, 8.0000000000, 0.0706650933
           3, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.40391748e+00, -2.63258853e+00, -2.93275533e+00, -1.80685443e+00, 1.09100490e+00, 5.0000000000, 8.0000000000, 0.0765154163
           4, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.42787540e+00, -2.61274584e+00, -2.94304038e+00, -1.82989952e+00, 1.07303494e+00, 5.0000000000, 8.0000000000, 0.0821419199
           5, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.45053930e+00, -2.60573314e+00, -2.95886142e+00, -1.85387227e+00, 1.05343372e+00, 5.0000000000, 8.0000000000, 0.0877412399
           6, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.47165244e+00, -2.60067490e+00, -2.97844638e+00, -1.87525640e+00, 1.03431309e+00, 5.0000000000, 8.0000000000, 0.0928292354
           7, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.49004424e+00, -2.59647690e+00, -2.99822355e+00, -1.89235296e+00, 1.01778993e+00, 5.0000000000, 8.0000000000, 0.0977392872
           8, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.50643442e+00, -2.59348852e+00, -3.01677399e+00, -1.90685958e+00, 1.00313466e+00, 5.0000000000, 8.0000000000, 0.1026882013
           9, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.52189208e+00, -2.59148634e+00, -3.03206559e+00, -1.92049048e+00, 9.89097708e-01, 5.0000000000, 8.0000000000, 0.1079430501
