X, P, T, M, alpha, eta, rhou_x, rho, P_tot, T_tot
-0.049, 151989.79568, 306.278807264, 0.167625465879, 3.68798327199e-12, 3.63055171319e-05, 101.664805864, 1.72873266114, 154979.274231, 308.00000229
-0.0481672240803, 151989.77349, 306.278805242, 0.167625518459, 7.85318182627e-14, 7.16660343315e-05, 101.664745546, 1.72873243309, 154979.254869, 308.000002174
-0.0473344481605, 151989.7513, 306.27880322, 0.167625571038, -3.53092391845e-12, 0.00010702659349, 101.664685228, 1.72873220504, 154979.235507, 308.000002058
-0.0465016722408, 151989.762083, 306.278796754, 0.167625823538, -3.14476118825e-13, 6.55497217069e-05, 101.664749746, 1.72873233191, 154979.257182, 308.000001798
-0.0456688963211, 151989.776648, 306.278789778, 0.167626098964, 3.6847697267e-12, 1.52611028996e-05, 101.66482858, 1.72873249949, 154979.283564, 308.00000152
-0.0448361204013, 151989.791212, 306.278782802, 0.167626374389, 7.68400936995e-12, -3.50274379171e-05, 101.664907414, 1.72873266707, 154979.309945, 308.000001243
-0.0440033444816, 151989.761937, 306.27877936, 0.167626472832, 4.67101257845e-12, 9.09586631318e-06, 101.664835997, 1.72873239177, 154979.285893, 308.000001157
-0.0431705685619, 151989.724032, 306.278776613, 0.16762653644, 2.77759425431e-13, 7.18027709183e-05, 101.664735005, 1.7287320293, 154979.251913, 308.00000111
-0.0423377926421, 151989.686127, 306.278773867, 0.167626600047, -4.11550245596e-12, 0.000134509800107, 101.664634013, 1.72873166683, 154979.217934, 308.000001062
-0.0415050167224, 151989.701269, 306.278763937, 0.167626992772, -3.98746889712e-12, 7.34913881608e-05, 101.664738185, 1.72873184742, 154979.250008, 308.000000794
-0.0406722408027, 151989.722798, 306.278753143, 0.167627425121, -3.3150642747e-12, -2.42361538758e-06, 101.66486706, 1.72873209338, 154979.290035, 308.0000005
-0.0398394648829, 151989.739463, 306.278742857, 0.167627834681, -2.70156045602e-12, -6.7481349929e-05, 101.664976873, 1.72873228863, 154979.324322, 308.000000262
-0.0390066889632, 151989.685082, 306.278739996, 0.167627911403, -2.94829385527e-12, 2.60314728562e-05, 101.66480829, 1.72873174311, 154979.274772, 308.000000841
-0.0381739130435, 151989.6307, 306.278737135, 0.167627988125, -3.1950280728e-12, 0.000119544605772, 101.664639707, 1.72873119759, 154979.225221, 308.000001421
-0.0373411371237, 151989.60693, 306.278729415, 0.16762826879, -2.4156407972e-12, 0.000139316105791, 101.664604109, 1.72873099406, 154979.21451, 308.000001545
-0.036508361204, 151989.640958, 306.278712519, 0.167628934528, 3.01205754763e-13, 1.98525968908e-05, 101.664819607, 1.72873143627, 154979.277131, 308.000000811
-0.0356755852843, 151989.674985, 306.278695624, 0.167629600263, 3.01804078903e-12, -9.96104055606e-05, 101.665035104, 1.72873187848, 154979.339752, 308.000000077
-0.0348428093645, 151989.619585, 306.27868323, 0.167629821963, 5.32558619402e-13, -3.53691423265e-05, 101.664887158, 1.72873130512, 154979.295755, 307.999994979
-0.0340100334448, 151989.531983, 306.278672457, 0.167629883777, -3.82617566364e-12, 9.50202794804e-05, 101.664608344, 1.72873036606, 154979.213368, 307.999988311
-0.0331772575251, 151989.478488, 306.278659975, 0.16763016447, -6.69725137098e-12, 0.000155398606323, 101.664474768, 1.72872982103, 154979.173822, 307.999984578
-0.0323444816054, 151989.540851, 306.27864169, 0.167631188661, -4.51489860594e-12, -2.20422462566e-05, 101.664834544, 1.72873061445, 154979.279804, 307.999990815
-0.0315117056856, 151989.603214, 306.278623405, 0.167632212844, -2.33256128686e-12, -0.000199481842969, 101.66519432, 1.72873140787, 154979.385784, 307.999997052
-0.0306789297659, 151989.498822, 306.278618587, 0.167632388821, -5.7411921576e-12, -1.77466867941e-05, 101.66487885, 1.72873025404, 154979.292188, 307.999999828
-0.0298461538462, 151989.357635, 306.278616741, 0.167632377643, -1.03835016333e-11, 0.000243242056679, 101.664414386, 1.72872867054, 154979.154555, 308.000001841
-0.0290133779264, 151989.342492, 306.278597297, 0.167633161222, -8.97168291298e-12, 0.000208474445214, 101.664484286, 1.72872863133, 154979.174239, 308.000002742
-0.0281806020067, 151989.449799, 306.278560755, 0.167634716876, -1.67844750025e-12, -0.000113612741693, 101.665073309, 1.72873009236, 154979.346753, 308.000002564
-0.027347826087, 151989.463233, 306.278533395, 0.167635770553, 2.85313852182e-12, -0.000228262294421, 101.665274317, 1.72873040886, 154979.406121, 308.000001625
-0.0265150501672, 151989.244691, 306.278528721, 0.167635583809, 5.60445891885e-13, 0.00016969250029, 101.664516484, 1.72872789707, 154979.185893, 307.999998804
-0.0256822742475, 151989.090376, 306.278516797, 0.167635796026, -1.97041549317e-12, 0.00042257576803, 101.664033268, 1.72872617122, 154979.045676, 307.999997047
-0.0248494983278, 151989.276781, 306.278466417, 0.16763812464, -5.76450845658e-12, -9.41414757855e-05, 101.66500685, 1.72872861477, 154979.329916, 308.000000934
-0.024016722408, 151989.40068, 306.278422195, 0.167640119301, -9.05514329143e-12, -0.000472592559243, 101.665724235, 1.7287303111, 154979.538646, 308.000004243
-0.0231839464883, 151989.046612, 306.278425054, 0.167639560518, -8.49632794643e-12, 0.000206221622359, 101.664482477, 1.72872629363, 154979.16998, 308.000003131
-0.0223511705686, 151988.797905, 306.278415116, 0.167639634817, -7.57974943344e-12, 0.000644072892975, 101.663681915, 1.72872353455, 154978.931653, 308.000002358
-0.0215183946488, 151989.118406, 306.278336043, 0.167643129069, -4.73063320705e-12, -0.000219838221725, 101.665264717, 1.72872757379, 154979.397466, 308.000003415
