z	mom_ax	p	T	p_tot	T_tot	dS	alpha
   -9.900000e-02	   +1.013103e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   +6.837891e-07	   -4.450672e-11
   -9.776589e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -6.852529e-06	   -5.125955e-11
   -9.653177e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -1.438885e-05	   -5.801239e-11
   -9.529766e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -2.192517e-05	   -6.476524e-11
   -9.406355e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -2.946150e-05	   -7.151811e-11
   -9.282943e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -3.699783e-05	   -7.827098e-11
   -9.159532e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -4.453416e-05	   -8.502387e-11
   -9.036120e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -5.207049e-05	   -9.177676e-11
   -8.912709e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -5.960682e-05	   -9.852967e-11
   -8.789298e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -6.714316e-05	   -1.052826e-10
   -8.665886e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -6.779859e-05	   -8.278510e-11
   -8.542475e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -6.156173e-05	   -3.098884e-11
   -8.419064e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -5.532488e-05	   +2.080740e-11
   -8.295652e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -4.908802e-05	   +7.260364e-11
   -8.172241e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -4.285117e-05	   +1.243998e-10
   -8.048829e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -3.661432e-05	   +1.761960e-10
   -7.925418e-02	   +1.013103e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -3.037747e-05	   +2.279922e-10
   -7.802007e-02	   +1.013103e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -2.414062e-05	   +2.797884e-10
   -7.678595e-02	   +1.013103e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -1.790378e-05	   +3.315846e-10
   -7.555184e-02	   +1.013103e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -1.217580e-05	   +3.669801e-10
   -7.431773e-02	   +1.013103e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -7.578462e-06	   +3.659354e-10
   -7.308361e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -2.981123e-06	   +3.648906e-10
   -7.184950e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   +1.616219e-06	   +3.638459e-10
   -7.061538e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   +6.213563e-06	   +3.628012e-10
   -6.938127e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   +1.081091e-05	   +3.617565e-10
   -6.814716e-02	   +1.013101e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   +1.540825e-05	   +3.607117e-10
   -6.691304e-02	   +1.013101e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   +2.000560e-05	   +3.596670e-10
   -6.567893e-02	   +1.013101e+02	   +1.520113e+05	   +3.062912e+02	   +1.549795e+05	   +3.080000e+02	   +2.113957e-05	   +2.945167e-10
   -6.444482e-02	   +1.013101e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -9.119514e-07	   -1.997842e-10
   -6.321070e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -2.296345e-05	   -6.940847e-10
   -6.197659e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -4.501494e-05	   -1.188385e-09
   -6.074247e-02	   +1.013102e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -6.706640e-05	   -1.682685e-09
   -5.950836e-02	   +1.013103e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -8.911786e-05	   -2.176985e-09
   -5.827425e-02	   +1.013103e+02	   +1.520113e+05	   +3.062912e+02	   +1.549796e+05	   +3.080000e+02	   -1.111693e-04	   -2.671284e-09
