"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.95218497e+00, -3.21362280e+00, -3.39982754e+00, -1.38524439e+00, 1.53158319e+00, 5.0000000000, 8.0000000000, 0.0189933419
           1, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.05803155e+00, -2.92152457e+00, -2.57894037e+00, -1.47482171e+00, 1.42717925e+00, 5.0000000000, 8.0000000000, 0.0207906206
           2, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.12949134e+00, -2.64630589e+00, -2.61693090e+00, -1.54352648e+00, 1.35547004e+00, 5.0000000000, 8.0000000000, 0.0225974798
           3, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.16967707e+00, -2.52705628e+00, -2.65911665e+00, -1.58144150e+00, 1.31777927e+00, 5.0000000000, 8.0000000000, 0.0245108207
           4, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.18980583e+00, -2.46783413e+00, -2.68272489e+00, -1.59809842e+00, 1.30279904e+00, 5.0000000000, 8.0000000000, 0.0263918678
           5, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.20227014e+00, -2.43849689e+00, -2.68812642e+00, -1.60703290e+00, 1.29576193e+00, 5.0000000000, 8.0000000000, 0.0282600323
           6, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.21494659e+00, -2.42389024e+00, -2.69246801e+00, -1.61700122e+00, 1.28728562e+00, 5.0000000000, 8.0000000000, 0.0302855611
           7, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.23070596e+00, -2.41511170e+00, -2.70394871e+00, -1.63079436e+00, 1.27438853e+00, 5.0000000000, 8.0000000000, 0.0322950959
           8, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.24901108e+00, -2.40934104e+00, -2.71764066e+00, -1.64690189e+00, 1.25818361e+00, 5.0000000000, 8.0000000000, 0.0342835426
           9, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.26892489e+00, -2.40332013e+00, -2.72398810e+00, -1.66358193e+00, 1.24009066e+00, 5.0000000000, 8.0000000000, 0.0362772067
          10, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.28932192e+00, -2.39692747e+00, -2.70915272e+00, -1.67904696e+00, 1.22157222e+00, 5.0000000000, 8.0000000000, 0.0383200844
          11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.30962605e+00, -2.39113528e+00, -2.68688340e+00, -1.69317453e+00, 1.20326107e+00, 5.0000000000, 8.0000000000, 0.0403313557
          12, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.33001895e+00, -2.38636702e+00, -2.67010028e+00, -1.70562909e+00, 1.18484667e+00, 5.0000000000, 8.0000000000, 0.0422929446
          13, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.35077337e+00, -2.38231573e+00, -2.65349370e+00, -1.71733828e+00, 1.16589460e+00, 5.0000000000, 8.0000000000, 0.0442615350
          14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.37181337e+00, -2.37843252e+00, -2.65173126e+00, -1.72930792e+00, 1.14630923e+00, 5.0000000000, 8.0000000000, 0.0463681261
          15, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.39307553e+00, -2.37474212e+00, -2.65820952e+00, -1.74190898e+00, 1.12607540e+00, 5.0000000000, 8.0000000000, 0.0483528415
          16, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.41391600e+00, -2.37079801e+00, -2.67072171e+00, -1.75647942e+00, 1.10572560e+00, 5.0000000000, 8.0000000000, 0.0503364444
          17, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.43371482e+00, -2.36762312e+00, -2.66520873e+00, -1.77329490e+00, 1.08582615e+00, 5.0000000000, 8.0000000000, 0.0523300449
          18, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.45195699e+00, -2.36578748e+00, -2.65077552e+00, -1.79226062e+00, 1.06695092e+00, 5.0000000000, 8.0000000000, 0.0543794990
          19, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.46821002e+00, -2.36537775e+00, -2.63671809e+00, -1.81329286e+00, 1.04961377e+00, 5.0000000000, 8.0000000000, 0.0563239972
          20, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.48226699e+00, -2.36625223e+00, -2.62685923e+00, -1.83622177e+00, 1.03414964e+00, 5.0000000000, 8.0000000000, 0.0583457629
          21, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.49414394e+00, -2.36826191e+00, -2.62148882e+00, -1.86038134e+00, 1.02070988e+00, 5.0000000000, 8.0000000000, 0.0603272557
          22, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.50395583e+00, -2.37136435e+00, -2.61888395e+00, -1.88449946e+00, 1.00936698e+00, 5.0000000000, 8.0000000000, 0.0622580091
          23, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.51173275e+00, -2.37554754e+00, -2.61791523e+00, -1.90668556e+00, 1.00029157e+00, 5.0000000000, 8.0000000000, 0.0642659704
          24, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.51737431e+00, -2.38077124e+00, -2.61862966e+00, -1.92461158e+00, 9.93802079e-01, 5.0000000000, 8.0000000000, 0.0662400325
          25, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.52075548e+00, -2.38680676e+00, -2.62124226e+00, -1.93608452e+00, 9.90244309e-01, 5.0000000000, 8.0000000000, 0.0681835095
          26, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.52190195e+00, -2.39303183e+00, -2.62506296e+00, -1.93994341e+00, 9.89771553e-01, 5.0000000000, 8.0000000000, 0.0701367100
          27, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.52115982e+00, -2.39812750e+00, -2.62749149e+00, -1.93675351e+00, 9.92120300e-01, 5.0000000000, 8.0000000000, 0.0721316655
          28, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.51926812e+00, -2.39961393e+00, -2.62752688e+00, -1.92879544e+00, 9.96500483e-01, 5.0000000000, 8.0000000000, 0.0741048257
          29, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.51731935e+00, -2.39345427e+00, -2.63347995e+00, -1.91902144e+00, 1.00165796e+00, 5.0000000000, 8.0000000000, 0.0761153142
          30, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.51658293e+00, -2.37517146e+00, -2.64426763e+00, -1.91041373e+00, 1.00610049e+00, 5.0000000000, 8.0000000000, 0.0780534506
          31, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.51825184e+00, -2.34244865e+00, -2.65308228e+00, -1.90543025e+00, 1.00839212e+00, 5.0000000000, 8.0000000000, 0.0800263087
          32, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.52322572e+00, -2.29732029e+00, -2.65607411e+00, -1.90575901e+00, 1.00739381e+00, 5.0000000000, 8.0000000000, 0.0820485751
          33, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.53195355e+00, -2.24549011e+00, -2.65272788e+00, -1.91240109e+00, 1.00241668e+00, 5.0000000000, 8.0000000000, 0.0840048512
          34, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.54435063e+00, -2.19340052e+00, -2.64502660e+00, -1.92571765e+00, 9.93288806e-01, 5.0000000000, 8.0000000000, 0.0860757271
          35, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.55975890e+00, -2.14600721e+00, -2.63464346e+00, -1.94549031e+00, 9.80374310e-01, 5.0000000000, 8.0000000000, 0.0880274653
          36, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.57696216e+00, -2.10623885e+00, -2.62209191e+00, -1.97092411e+00, 9.64550211e-01, 5.0000000000, 8.0000000000, 0.0900727908
          37, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.59429963e+00, -2.07537175e+00, -2.60775655e+00, -2.00055677e+00, 9.47127539e-01, 5.0000000000, 8.0000000000, 0.0920328538
          38, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.60990400e+00, -2.05356928e+00, -2.59180259e+00, -2.03221538e+00, 9.29705296e-01, 5.0000000000, 8.0000000000, 0.0940545321
          39, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.62206030e+00, -2.04030037e+00, -2.57440655e+00, -2.06311625e+00, 9.13946804e-01, 5.0000000000, 8.0000000000, 0.0961172740
          40, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.62960318e+00, -2.03461260e+00, -2.55564081e+00, -2.09019619e+00, 9.01295029e-01, 5.0000000000, 8.0000000000, 0.0980943680
          41, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.63219564e+00, -2.03531449e+00, -2.53509392e+00, -2.11074282e+00, 8.92689235e-01, 5.0000000000, 8.0000000000, 0.1002000054
