z	mom_ax	p	T	p_tot	T_tot	dS	alpha
   -9.900000e-02	   +1.013151e+02	   +1.520109e+05	   +3.062910e+02	   +1.549795e+05	   +3.080000e+02	   +6.679844e-07	   +4.081567e-11
   -9.776589e-02	   +1.013151e+02	   +1.520109e+05	   +3.062910e+02	   +1.549795e+05	   +3.080000e+02	   -4.262746e-05	   +2.908931e-11
   -9.653177e-02	   +1.013152e+02	   +1.520109e+05	   +3.062910e+02	   +1.549795e+05	   +3.080000e+02	   -8.592287e-05	   +1.736296e-11
   -9.529766e-02	   +1.013153e+02	   +1.520109e+05	   +3.062910e+02	   +1.549795e+05	   +3.080000e+02	   -1.292182e-04	   +5.636627e-12
   -9.406355e-02	   +1.013153e+02	   +1.520109e+05	   +3.062910e+02	   +1.549795e+05	   +3.080000e+02	   -1.725135e-04	   -6.089696e-12
   -9.282943e-02	   +1.013154e+02	   +1.520110e+05	   +3.062910e+02	   +1.549796e+05	   +3.080000e+02	   -2.158088e-04	   -1.781600e-11
   -9.159532e-02	   +1.013154e+02	   +1.520110e+05	   +3.062910e+02	   +1.549796e+05	   +3.080000e+02	   -2.591040e-04	   -2.954230e-11
   -9.036120e-02	   +1.013155e+02	   +1.520110e+05	   +3.062910e+02	   +1.549796e+05	   +3.080000e+02	   -3.023991e-04	   -4.126857e-11
   -8.912709e-02	   +1.013156e+02	   +1.520110e+05	   +3.062910e+02	   +1.549796e+05	   +3.080000e+02	   -3.456942e-04	   -5.299484e-11
   -8.789298e-02	   +1.013156e+02	   +1.520110e+05	   +3.062910e+02	   +1.549796e+05	   +3.080000e+02	   -3.889892e-04	   -6.472109e-11
   -8.665886e-02	   +1.013156e+02	   +1.520110e+05	   +3.062910e+02	   +1.549796e+05	   +3.080000e+02	   -3.818488e-04	   -7.272714e-11
   -8.542475e-02	   +1.013155e+02	   +1.520110e+05	   +3.062910e+02	   +1.549796e+05	   +3.080000e+02	   -3.241895e-04	   -7.700683e-11
   -8.419064e-02	   +1.013154e+02	   +1.520110e+05	   +3.062910e+02	   +1.549796e+05	   +3.080000e+02	   -2.665301e-04	   -8.128653e-11
   -8.295652e-02	   +1.013153e+02	   +1.520110e+05	   +3.062910e+02	   +1.549795e+05	   +3.080000e+02	   -2.088706e-04	   -8.556624e-11
   -8.172241e-02	   +1.013153e+02	   +1.520109e+05	   +3.062910e+02	   +1.549795e+05	   +3.080000e+02	   -1.512110e-04	   -8.984595e-11
   -8.048829e-02	   +1.013152e+02	   +1.520109e+05	   +3.062910e+02	   +1.549795e+05	   +3.080000e+02	   -9.355124e-05	   -9.412568e-11
