X, P, T, M, alpha, eta, rhou_x, Vx, P_tot, T_tot
-0.06, 152011.087794, 306.291087218, 0.167023099833, -1.92643026432e-09, 0.000205772509292, 101.312262129, 58.5992410642, 154979.523204, 307.999995322
-0.0591638795987, 152011.075191, 306.291087504, 0.167023087221, -1.73782840287e-09, 0.000230535494607, 101.312221399, 58.5992324266, 154979.510467, 307.999995693
-0.0583277591973, 152011.062588, 306.291087789, 0.167023074609, -1.54922638977e-09, 0.000255298499833, 101.31218067, 58.5992237889, 154979.49773, 307.999996064
-0.057491638796, 152011.049985, 306.291088074, 0.167023061997, -1.36062422503e-09, 0.00028006152497, 101.312139941, 58.5992151513, 154979.484993, 307.999996435
-0.0566555183946, 152011.043517, 306.291087273, 0.167023096256, -1.2451895102e-09, 0.000289683067151, 101.312124879, 58.5992212513, 154979.480272, 307.999996731
-0.0558193979933, 152011.055639, 306.291083179, 0.167023272544, -1.35147016944e-09, 0.000253422232303, 101.312187594, 58.59927201, 154979.499839, 307.999996797
-0.054983277592, 152011.06776, 306.291079086, 0.167023448831, -1.45775069709e-09, 0.000217161442349, 101.31225031, 58.5993227687, 154979.519407, 307.999996864
-0.0541471571906, 152011.079882, 306.291074993, 0.167023625119, -1.56403109317e-09, 0.000180900697287, 101.312313025, 58.5993735273, 154979.538975, 307.99999693
-0.0533110367893, 152011.092003, 306.2910709, 0.167023801406, -1.67031135766e-09, 0.000144639997118, 101.31237574, 58.5994242859, 154979.558543, 307.999996997
-0.052474916388, 152011.104125, 306.291066806, 0.167023977692, -1.77659149057e-09, 0.000108379341842, 101.312438455, 58.5994750444, 154979.57811, 307.999997064
-0.0516387959866, 152011.116246, 306.291062713, 0.167024153979, -1.8828714919e-09, 7.21187314586e-05, 101.31250117, 58.5995258029, 154979.597678, 307.99999713
-0.0508026755853, 152011.128367, 306.29105862, 0.167024330266, -1.98915136166e-09, 3.58581659677e-05, 101.312563885, 58.5995765612, 154979.617246, 307.999997197
-0.0499665551839, 152011.140489, 306.291054526, 0.167024506552, -2.09543109983e-09, -4.02354630705e-07, 101.312626601, 58.5996273195, 154979.636813, 307.999997263
-0.0491304347826, 152011.15261, 306.291050433, 0.167024682838, -2.20171070642e-09, -3.66628303367e-05, 101.312689316, 58.5996780778, 154979.656381, 307.99999733
-0.0482943143813, 152011.133391, 306.29104666, 0.167024761753, -4.3719874828e-09, -1.26576993023e-05, 101.312638298, 58.59968879, 154979.641239, 307.999996158
-0.0474581939799, 152011.101683, 306.291043014, 0.167024801866, -7.36479045882e-09, 3.536388047e-05, 101.312541957, 58.5996835435, 154979.612264, 307.999994493
-0.0466220735786, 152011.069975, 306.291039368, 0.167024841979, -1.03575991267e-08, 8.33855515727e-05, 101.312445616, 58.599678297, 154979.583289, 307.999992827
-0.0457859531773, 152011.038267, 306.291035722, 0.167024882092, -1.33504134865e-08, 0.000131407314006, 101.312349275, 58.5996730504, 154979.554315, 307.999991162
-0.0449498327759, 152011.006559, 306.291032077, 0.167024922205, -1.63432335383e-08, 0.00017942916777, 101.312252934, 58.5996678039, 154979.52534, 307.999989497
-0.0441137123746, 152010.97485, 306.291028431, 0.167024962318, -1.9336059282e-08, 0.000227451112865, 101.312156593, 58.5996625573, 154979.496365, 307.999987831
-0.0432775919732, 152010.943142, 306.291024785, 0.167025002431, -2.23288907176e-08, 0.000275473149292, 101.312060252, 58.5996573108, 154979.46739, 307.999986166
-0.0424414715719, 152010.911433, 306.291021139, 0.167025042545, -2.53217278452e-08, 0.00032349527705, 101.311963911, 58.5996520642, 154979.438415, 307.9999845
-0.0416053511706, 152010.893903, 306.291015652, 0.167025203338, -2.57874801693e-08, 0.000338726778237, 101.311929977, 58.5996844344, 154979.428489, 307.999983639
-0.0407692307692, 152010.916364, 306.291004971, 0.167025704511, -1.91254900842e-08, 0.000261470964139, 101.312072067, 58.5998229039, 154979.47229, 307.999985046
