z	mom_ax	p	T	p_tot	T_tot	dS	alpha
   -5.086957e-02	   +1.013126e+02	   +1.520111e+05	   +3.062911e+02	   +1.549796e+05	   +3.080000e+02	   -1.534506e-04	   -2.196297e-09
   -4.963545e-02	   +1.013127e+02	   +1.520111e+05	   +3.062911e+02	   +1.549796e+05	   +3.080000e+02	   -2.069711e-04	   -2.187000e-09
   -4.840134e-02	   +1.013127e+02	   +1.520111e+05	   +3.062910e+02	   +1.549796e+05	   +3.080000e+02	   -2.107723e-04	   -4.815788e-10
   -4.716722e-02	   +1.013125e+02	   +1.520111e+05	   +3.062910e+02	   +1.549796e+05	   +3.080000e+02	   -1.392847e-04	   +3.792252e-09
   -4.593311e-02	   +1.013124e+02	   +1.520110e+05	   +3.062910e+02	   +1.549796e+05	   +3.080000e+02	   -6.779677e-05	   +8.066096e-09
   -4.469900e-02	   +1.013122e+02	   +1.520110e+05	   +3.062910e+02	   +1.549795e+05	   +3.080000e+02	   +3.691309e-06	   +1.233995e-08
   -4.346488e-02	   +1.013121e+02	   +1.520109e+05	   +3.062910e+02	   +1.549795e+05	   +3.080000e+02	   +7.517958e-05	   +1.661382e-08
   -4.223077e-02	   +1.013119e+02	   +1.520109e+05	   +3.062910e+02	   +1.549794e+05	   +3.080000e+02	   +1.466681e-04	   +2.088770e-08
   -4.099666e-02	   +1.013120e+02	   +1.520109e+05	   +3.062910e+02	   +1.549795e+05	   +3.080000e+02	   +9.329562e-05	   +1.558557e-08
   -3.976254e-02	   +1.013122e+02	   +1.520109e+05	   +3.062910e+02	   +1.549795e+05	   +3.080000e+02	   -2.142016e-05	   +5.578821e-09
   -3.852843e-02	   +1.013125e+02	   +1.520110e+05	   +3.062910e+02	   +1.549796e+05	   +3.080000e+02	   -1.361355e-04	   -4.427887e-09
   -3.729431e-02	   +1.013127e+02	   +1.520110e+05	   +3.062910e+02	   +1.549797e+05	   +3.080000e+02	   -2.508503e-04	   -1.443455e-08
   -3.606020e-02	   +1.013129e+02	   +1.520110e+05	   +3.062909e+02	   +1.549797e+05	   +3.080000e+02	   -3.655646e-04	   -2.444118e-08
   -3.482609e-02	   +1.013128e+02	   +1.520110e+05	   +3.062909e+02	   +1.549797e+05	   +3.080000e+02	   -3.072238e-04	   -4.135621e-08
   -3.359197e-02	   +1.013124e+02	   +1.520109e+05	   +3.062909e+02	   +1.549796e+05	   +3.080000e+02	   -1.334089e-04	   -6.288110e-08
   -3.235786e-02	   +1.013121e+02	   +1.520108e+05	   +3.062909e+02	   +1.549795e+05	   +3.080000e+02	   +4.040715e-05	   -8.440613e-08
   -3.112375e-02	   +1.013118e+02	   +1.520107e+05	   +3.062909e+02	   +1.549794e+05	   +3.080000e+02	   +2.142243e-04	   -1.059313e-07
   -2.988963e-02	   +1.013116e+02	   +1.520106e+05	   +3.062909e+02	   +1.549793e+05	   +3.080000e+02	   +3.373067e-04	   -1.048375e-07
   -2.865552e-02	   +1.013120e+02	   +1.520106e+05	   +3.062908e+02	   +1.549795e+05	   +3.080000e+02	   +7.944939e-05	   +6.608709e-08
   -2.742140e-02	   +1.013125e+02	   +1.520107e+05	   +3.062908e+02	   +1.549796e+05	   +3.080000e+02	   -1.784055e-04	   +2.370101e-07
   -2.618729e-02	   +1.013130e+02	   +1.520107e+05	   +3.062907e+02	   +1.549797e+05	   +3.080000e+02	   -4.362580e-04	   +4.079315e-07
   -2.495318e-02	   +1.013133e+02	   +1.520107e+05	   +3.062907e+02	   +1.549798e+05	   +3.080000e+02	   -5.912855e-04	   +5.113105e-07
   -2.371906e-02	   +1.013126e+02	   +1.520105e+05	   +3.062907e+02	   +1.549796e+05	   +3.080000e+02	   -2.165643e-04	   +2.667151e-07
   -2.248495e-02	   +1.013119e+02	   +1.520103e+05	   +3.062907e+02	   +1.549794e+05	   +3.080000e+02	   +1.581620e-04	   +2.211637e-08
   -2.125084e-02	   +1.013112e+02	   +1.520100e+05	   +3.062906e+02	   +1.549792e+05	   +3.080000e+02	   +5.328934e-04	   -2.224857e-07
   -2.001672e-02	   +1.013116e+02	   +1.520100e+05	   +3.062906e+02	   +1.549793e+05	   +3.080000e+02	   +2.840948e-04	   -1.182692e-06
   -1.878261e-02	   +1.013126e+02	   +1.520102e+05	   +3.062905e+02	   +1.549796e+05	   +3.080000e+02	   -2.586796e-04	   -2.480270e-06
   -1.754849e-02	   +1.013136e+02	   +1.520103e+05	   +3.062904e+02	   +1.549799e+05	   +3.080000e+02	   -8.014433e-04	   -3.777823e-06
   -1.631438e-02	   +1.013131e+02	   +1.520100e+05	   +3.062903e+02	   +1.549798e+05	   +3.080000e+02	   -5.298183e-04	   +2.158480e-07
   -1.508027e-02	   +1.013117e+02	   +1.520095e+05	   +3.062903e+02	   +1.549794e+05	   +3.080000e+02	   +2.434414e-04	   +7.468795e-06
   -1.384615e-02	   +1.013102e+02	   +1.520090e+05	   +3.062902e+02	   +1.549789e+05	   +3.080000e+02	   +1.016723e-03	   +1.472195e-05
   -1.261204e-02	   +1.013120e+02	   +1.520093e+05	   +3.062900e+02	   +1.549795e+05	   +3.080000e+02	   +5.900379e-05	   +7.284020e-06
   -1.137793e-02	   +1.013141e+02	   +1.520096e+05	   +3.062899e+02	   +1.549800e+05	   +3.080000e+02	   -1.018268e-03	   -1.168581e-06
   -1.014381e-02	   +1.013132e+02	   +1.520091e+05	   +3.062898e+02	   +1.549798e+05	   +3.080000e+02	   -5.646578e-04	   -4.199090e-05
   -8.909699e-03	   +1.013103e+02	   +1.520082e+05	   +3.062897e+02	   +1.549790e+05	   +3.080000e+02	   +9.582598e-04	   -1.054252e-04
   -7.675585e-03	   +1.013112e+02	   +1.520081e+05	   +3.062895e+02	   +1.549792e+05	   +3.080000e+02	   +5.229127e-04	   +5.628913e-05
   -6.441472e-03	   +1.013152e+02	   +1.520087e+05	   +3.062892e+02	   +1.549803e+05	   +3.080000e+02	   -1.563073e-03	   +4.077726e-04
   -5.207358e-03	   +1.013120e+02	   +1.520076e+05	   +3.062891e+02	   +1.549794e+05	   +3.080000e+02	   +1.408217e-04	   +6.795380e-05
   -3.973244e-03	   +1.013098e+02	   +1.520066e+05	   +3.062889e+02	   +1.549786e+05	   +3.080000e+02	   +1.541215e-03	   -9.088459e-04
   -2.739130e-03	   +1.013188e+02	   +1.520077e+05	   +3.062884e+02	   +1.549806e+05	   +3.080000e+02	   -2.168031e-03	   -3.354075e-03
   -1.505017e-03	   +1.013078e+02	   +1.519852e+05	   +3.062880e+02	   +1.549585e+05	   +3.080000e+02	   +3.883497e-02	   +1.297354e-02
   -2.709030e-04	   +1.036067e+02	   +1.519001e+05	   +3.062077e+02	   +1.550118e+05	   +3.080000e+02	   -6.376502e-02	   -2.103371e-02
   +9.632107e-04	   +1.067218e+02	   +1.515935e+05	   +3.060923e+02	   +1.549002e+05	   +3.080000e+02	   +1.375022e-01	   -4.009252e-02
   +2.197324e-03	   +1.139095e+02	   +1.512984e+05	   +3.058170e+02	   +1.550784e+05	   +3.080000e+02	   -2.073998e-01	   -2.783906e-01
