z	mom_ax	p	T	p_tot	T_tot	dS	alpha
   -9.900000e-02	   +1.013184e+02	   +1.520105e+05	   +3.062908e+02	   +1.549793e+05	   +3.079999e+02	   +6.061245e-07	   +2.931972e-11
   -9.776589e-02	   +1.013185e+02	   +1.520106e+05	   +3.062908e+02	   +1.549793e+05	   +3.079999e+02	   -8.290330e-05	   +2.765768e-11
   -9.653177e-02	   +1.013187e+02	   +1.520106e+05	   +3.062908e+02	   +1.549794e+05	   +3.079999e+02	   -1.664125e-04	   +2.599565e-11
   -9.529766e-02	   +1.013188e+02	   +1.520106e+05	   +3.062908e+02	   +1.549794e+05	   +3.079999e+02	   -2.499215e-04	   +2.433362e-11
   -9.406355e-02	   +1.013190e+02	   +1.520107e+05	   +3.062908e+02	   +1.549795e+05	   +3.079999e+02	   -3.334302e-04	   +2.267160e-11
   -9.282943e-02	   +1.013191e+02	   +1.520107e+05	   +3.062908e+02	   +1.549795e+05	   +3.079999e+02	   -4.169388e-04	   +2.100958e-11
   -9.159532e-02	   +1.013192e+02	   +1.520108e+05	   +3.062908e+02	   +1.549796e+05	   +3.079999e+02	   -5.004471e-04	   +1.934757e-11
   -9.036120e-02	   +1.013194e+02	   +1.520108e+05	   +3.062908e+02	   +1.549796e+05	   +3.079999e+02	   -5.839551e-04	   +1.768556e-11
   -8.912709e-02	   +1.013195e+02	   +1.520108e+05	   +3.062908e+02	   +1.549797e+05	   +3.079999e+02	   -6.674629e-04	   +1.602356e-11
   -8.789298e-02	   +1.013196e+02	   +1.520109e+05	   +3.062908e+02	   +1.549797e+05	   +3.079999e+02	   -7.509706e-04	   +1.436156e-11
   -8.665886e-02	   +1.013196e+02	   +1.520109e+05	   +3.062908e+02	   +1.549797e+05	   +3.079999e+02	   -7.331424e-04	   +1.562758e-12
   -8.542475e-02	   +1.013194e+02	   +1.520108e+05	   +3.062908e+02	   +1.549796e+05	   +3.079999e+02	   -6.138108e-04	   -2.239134e-11
   -8.419064e-02	   +1.013192e+02	   +1.520108e+05	   +3.062908e+02	   +1.549796e+05	   +3.079999e+02	   -4.944788e-04	   -4.634553e-11
   -8.295652e-02	   +1.013190e+02	   +1.520107e+05	   +3.062908e+02	   +1.549795e+05	   +3.079999e+02	   -3.751462e-04	   -7.029981e-11
   -8.172241e-02	   +1.013188e+02	   +1.520106e+05	   +3.062908e+02	   +1.549794e+05	   +3.080000e+02	   -2.558132e-04	   -9.425419e-11
   -8.048829e-02	   +1.013186e+02	   +1.520106e+05	   +3.062908e+02	   +1.549794e+05	   +3.080000e+02	   -1.364797e-04	   -1.182087e-10
