X, P, T, M, alpha, eta, rhou_x, Vx, P_tot, T_tot
-0.06, 152010.83629, 306.290971787, 0.167027801306, 5.63582349264e-10, 0.000698897291872, 101.314957701, 58.6008792905, 154979.4337, 307.99997545
-0.0591638795987, 152010.799734, 306.290973239, 0.167027650469, 7.27271398404e-10, 0.000772718981778, 101.314815023, 58.600821527, 154979.391536, 307.999974122
-0.0583277591973, 152010.763177, 306.29097469, 0.16702749963, 8.90960908582e-10, 0.000846540879605, 101.314672345, 58.6007637633, 154979.349372, 307.999972794
-0.057491638796, 152010.72662, 306.290976141, 0.167027348792, 1.0546508798e-09, 0.000920362985355, 101.314529666, 58.6007059995, 154979.307208, 307.999971466
-0.0566555183946, 152010.711068, 306.290975114, 0.167027330714, 1.31203345806e-09, 0.000946399901111, 101.314475267, 58.6006931734, 154979.291293, 307.999970433
-0.0558193979933, 152010.759167, 306.290966581, 0.167027714933, 1.85332463106e-09, 0.000827635904104, 101.314688376, 58.6008165195, 154979.354919, 307.999970293
-0.054983277592, 152010.807265, 306.290958048, 0.16702809915, 2.39461352693e-09, 0.000708872406721, 101.314901485, 58.6009398651, 154979.418545, 307.999970154
-0.0541471571906, 152010.855364, 306.290949515, 0.167028483366, 2.93590014566e-09, 0.000590109408959, 101.315114594, 58.6010632101, 154979.48217, 307.999970014
-0.0533110367893, 152010.903462, 306.290940982, 0.16702886758, 3.47718448729e-09, 0.000471346910815, 101.315327703, 58.6011865547, 154979.545795, 307.999969874
-0.052474916388, 152010.95156, 306.290932449, 0.167029251793, 4.01846655182e-09, 0.000352584912286, 101.315540813, 58.6013098987, 154979.60942, 307.999969734
-0.0516387959866, 152010.999658, 306.290923916, 0.167029636004, 4.55974633927e-09, 0.000233823413368, 101.315753922, 58.6014332423, 154979.673045, 307.999969595
-0.0508026755853, 152011.047755, 306.290915383, 0.167030020213, 5.10102384966e-09, 0.000115062414059, 101.315967031, 58.6015565853, 154979.736669, 307.999969455
-0.0499665551839, 152011.095853, 306.29090685, 0.167030404421, 5.64229908298e-09, -3.69808564463e-06, 101.31618014, 58.6016799278, 154979.800293, 307.999969315
