"Point",	"x_coord",	"y_coord",	"z_coord",	"u"
0,	+2.5001876405990092e-01,	+0.0000000000000000e+00,	+1.2404149540937759e-01,	0.0000000000000000
1,	+2.5001874590216400e-01,	+0.0000000000000000e+00,	+1.2448409560285152e-01,	0.0101010101010101
2,	+2.5001872774442707e-01,	+0.0000000000000000e+00,	+1.2492669579632545e-01,	0.0202020202020202
3,	+2.5001870958669015e-01,	+0.0000000000000000e+00,	+1.2536929598979940e-01,	0.0303030303030303
4,	+2.5001869142895322e-01,	+0.0000000000000000e+00,	+1.2581189618327332e-01,	0.0404040404040404
5,	+2.5001867327121624e-01,	+0.0000000000000000e+00,	+1.2625449637674727e-01,	0.0505050505050505
6,	+2.5001865511347932e-01,	+0.0000000000000000e+00,	+1.2669709657022121e-01,	0.0606060606060606
7,	+2.5001863695574239e-01,	+0.0000000000000000e+00,	+1.2713969676369513e-01,	0.0707070707070707
8,	+2.5001861879800547e-01,	+0.0000000000000000e+00,	+1.2758229695716908e-01,	0.0808080808080808
9,	+2.5001860064026854e-01,	+0.0000000000000000e+00,	+1.2802489715064302e-01,	0.0909090909090909
10,	+2.5001858248253161e-01,	+0.0000000000000000e+00,	+1.2846749734411697e-01,	0.1010101010101010
11,	+2.5001856432479469e-01,	+0.0000000000000000e+00,	+1.2891009753759089e-01,	0.1111111111111111
12,	+2.5001854616705776e-01,	+0.0000000000000000e+00,	+1.2935269773106484e-01,	0.1212121212121212
13,	+2.5001852800932084e-01,	+0.0000000000000000e+00,	+1.2979529792453878e-01,	0.1313131313131313
14,	+2.5001850985158391e-01,	+0.0000000000000000e+00,	+1.3023789811801270e-01,	0.1414141414141414
15,	+2.5001849169384699e-01,	+0.0000000000000000e+00,	+1.3068049831148665e-01,	0.1515151515151515
16,	+2.5001847353611006e-01,	+0.0000000000000000e+00,	+1.3112309850496059e-01,	0.1616161616161616
17,	+2.5001845537837308e-01,	+0.0000000000000000e+00,	+1.3156569869843451e-01,	0.1717171717171717
