"Point",	"x_coord",	"y_coord",	"z_coord",	"u"
78,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8047310774136985e-01,	0.7878787878787880
79,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8091570793521625e-01,	0.7979797979797980
80,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8135830812906265e-01,	0.8080808080808082
81,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8180090832290904e-01,	0.8181818181818182
82,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8224350851675544e-01,	0.8282828282828284
83,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8268610871060184e-01,	0.8383838383838385
84,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8312870890444824e-01,	0.8484848484848485
85,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8357130909829464e-01,	0.8585858585858587
86,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8401390929214104e-01,	0.8686868686868687
87,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8445650948598744e-01,	0.8787878787878789
88,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8489910967983383e-01,	0.8888888888888890
89,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8534170987368023e-01,	0.8989898989898991
90,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8578431006752663e-01,	0.9090909090909092
91,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8622691026137303e-01,	0.9191919191919192
92,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8666951045521943e-01,	0.9292929292929294
93,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8711211064906583e-01,	0.9393939393939394
94,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8755471084291223e-01,	0.9494949494949496
95,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8799731103675862e-01,	0.9595959595959597
96,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8843991123060502e-01,	0.9696969696969697
97,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8888251142445142e-01,	0.9797979797979799
98,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8932511161829782e-01,	0.9898989898989899
99,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8976771181214422e-01,	1.0000000000000000
