"Point",	"x_coord",	"y_coord",	"z_coord",	"u",	"v"
41,	+2.5043335733203181e-01,	-3.3041410933284589e-02,	+1.6944063518962699e-01,	0.3793127586206897,	0.0344920689655173
42,	+2.4978770933525923e-01,	-3.7611682887316804e-02,	+1.7213216605093062e-01,	0.4137948275862069,	0.0344920689655173
43,	+2.4884296311835863e-01,	-4.3424072565286229e-02,	+1.7493037136909534e-01,	0.4482768965517242,	0.0344920689655173
44,	+2.4771814689101837e-01,	-4.9438481877773506e-02,	+1.7767253767122446e-01,	0.4827589655172415,	0.0344920689655173
45,	+2.4780844724023551e-01,	-4.8983607653670790e-02,	+1.7874657828486545e-01,	0.5172410344827587,	0.0344920689655173
46,	+2.4900353726230265e-01,	-4.2493094901192976e-02,	+1.7701772606532615e-01,	0.5517231034482759,	0.0344920689655173
47,	+2.4999318904366050e-01,	-3.6219893085267164e-02,	+1.7504784243834648e-01,	0.5862051724137931,	0.0344920689655173
48,	+2.5068902243825908e-01,	-3.1040843083283171e-02,	+1.7329424851344208e-01,	0.6206872413793104,	0.0344920689655173
49,	+2.5123977136484099e-01,	-2.6213461845193450e-02,	+1.7147443306857374e-01,	0.6551693103448276,	0.0344920689655173
50,	+2.5167741325143622e-01,	-2.1612100949861671e-02,	+1.6957121667847588e-01,	0.6896513793103449,	0.0344920689655173
51,	+2.5201835285376251e-01,	-1.7186837416473900e-02,	+1.6753944325466730e-01,	0.7241334482758621,	0.0344920689655173
52,	+2.5227345578211074e-01,	-1.2914569273307844e-02,	+1.6527837902512760e-01,	0.7586155172413794,	0.0344920689655173
53,	+2.5244906829944336e-01,	-8.8435659598659067e-03,	+1.6262230383149537e-01,	0.7930975862068966,	0.0344920689655173
54,	+2.5255165077310643e-01,	-5.1455989190296852e-03,	+1.5939826167937171e-01,	0.8275796551724138,	0.0344920689655173
55,	+2.5259516406805965e-01,	-2.1386420904322087e-03,	+1.5546477939955561e-01,	0.8620617241379311,	0.0344920689655173
56,	+2.5260425345226240e-01,	-2.7627566374695809e-04,	+1.5084270903905789e-01,	0.8965437931034483,	0.0344920689655173
57,	+2.5260455692447198e-01,	-1.7935084077381461e-04,	+1.4539026037259709e-01,	0.9310258620689656,	0.0344920689655173
58,	+2.5259174536543449e-01,	-2.5750286311551083e-03,	+1.3879026838581479e-01,	0.9655079310344828,	0.0344920689655173
59,	+2.5252666832235149e-01,	-6.2916484639070234e-03,	+1.3499593328265361e-01,	0.9999900000000000,	0.0344920689655173
60,	+2.5511338463124650e-01,	-6.2935816378183141e-03,	+1.3499591380782913e-01,	0.0000100000000000,	0.0689741379310345
61,	+2.5502084120561747e-01,	-9.3144429107127804e-03,	+1.3784747275344386e-01,	0.0344920689655173,	0.0689741379310345
62,	+2.5492424180505485e-01,	-1.1658869089912406e-02,	+1.4255528777575224e-01,	0.0689741379310345,	0.0689741379310345
63,	+2.5485183058670641e-01,	-1.3144381015059022e-02,	+1.4611235922159635e-01,	0.1034562068965517,	0.0689741379310345
64,	+2.5478033606953188e-01,	-1.4462076489186324e-02,	+1.4916120851656206e-01,	0.1379382758620690,	0.0689741379310345
65,	+2.5469224016484227e-01,	-1.5936677981931484e-02,	+1.5208404200779033e-01,	0.1724203448275863,	0.0689741379310345
66,	+2.5457693143983140e-01,	-1.7681691392612480e-02,	+1.5499159181891872e-01,	0.2069024137931035,	0.0689741379310345
67,	+2.5442124527164639e-01,	-1.9794609834741139e-02,	+1.5793385898436932e-01,	0.2413844827586207,	0.0689741379310345
68,	+2.5420888658117163e-01,	-2.2355745517468172e-02,	+1.6089778252065678e-01,	0.2758665517241380,	0.0689741379310345
69,	+2.5392059372841963e-01,	-2.5420739236521044e-02,	+1.6382682943274426e-01,	0.3103486206896552,	0.0689741379310345
70,	+2.5353764776263760e-01,	-2.8991180293259540e-02,	+1.6668063081504131e-01,	0.3448306896551725,	0.0689741379310345
71,	+2.5304122654643924e-01,	-3.3043938241890912e-02,	+1.6944116042549168e-01,	0.3793127586206897,	0.0689741379310345
72,	+2.5240206350970973e-01,	-3.7615170297467214e-02,	+1.7213279185690669e-01,	0.4137948275862069,	0.0689741379310345
73,	+2.5146677281912483e-01,	-4.3429232843391008e-02,	+1.7493084168504344e-01,	0.4482768965517242,	0.0689741379310345
74,	+2.5035316721439943e-01,	-4.9445956459128741e-02,	+1.7767259762989723e-01,	0.4827589655172415,	0.0689741379310345
75,	+2.5044256431938261e-01,	-4.8990917834915944e-02,	+1.7874661428454994e-01,	0.5172410344827587,	0.0689741379310345
76,	+2.5162572534979588e-01,	-4.2498068600563828e-02,	+1.7701802432435645e-01,	0.5517231034482759,	0.0689741379310345
77,	+2.5260545741796497e-01,	-3.6223250766861038e-02,	+1.7504815187895445e-01,	0.5862051724137931,	0.0689741379310345
78,	+2.5329429886090760e-01,	-3.1043243373949619e-02,	+1.7329445041980471e-01,	0.6206872413793104,	0.0689741379310345
79,	+2.5383951259262982e-01,	-2.6215149948943285e-02,	+1.7147462551687401e-01,	0.6551693103448276,	0.0689741379310345
80,	+2.5427275420480938e-01,	-2.1613252288368631e-02,	+1.6957144782653094e-01,	0.6896513793103449,	0.0689741379310345
81,	+2.5461026224346439e-01,	-1.7187606605824451e-02,	+1.6753970382660952e-01,	0.7241334482758621,	0.0689741379310345
82,	+2.5486279389622740e-01,	-1.2915092521062243e-02,	+1.6527863240413518e-01,	0.7586155172413794,	0.0689741379310345
83,	+2.5503663476351818e-01,	-8.8439264457385869e-03,	+1.6262254146947841e-01,	0.7930975862068966,	0.0689741379310345
84,	+2.5513818128414617e-01,	-5.1458374429742479e-03,	+1.5939848803567452e-01,	0.8275796551724138,	0.0689741379310345
85,	+2.5518125316192081e-01,	-2.1387839900359022e-03,	+1.5546498152583141e-01,	0.8620617241379311,	0.0689741379310345
86,	+2.5519024683944930e-01,	-2.7637116383000655e-04,	+1.5084286023876126e-01,	0.8965437931034483,	0.0689741379310345
87,	+2.5519054175077605e-01,	-1.7944651666668753e-04,	+1.4539033813969429e-01,	0.9310258620689656,	0.0689741379310345
88,	+2.5517785292914436e-01,	-2.5750759969834489e-03,	+1.3879028653180869e-01,	0.9655079310344828,	0.0689741379310345
89,	+2.5511343188777724e-01,	-6.2916615824792216e-03,	+1.3499593328063444e-01,	0.9999900000000000,	0.0689741379310345
90,	+2.5770013274176723e-01,	-6.2935943752813941e-03,	+1.3499591380940665e-01,	0.0000100000000000,	0.1034562068965517
91,	+2.5760852393253797e-01,	-9.3143849788300294e-03,	+1.3784747955581680e-01,	0.0344920689655173,	0.1034562068965517
92,	+2.5751290260484172e-01,	-1.1658767420447637e-02,	+1.4255529568605491e-01,	0.0689741379310345,	0.1034562068965517
93,	+2.5744121924238778e-01,	-1.3144367977062353e-02,	+1.4611236958633203e-01,	0.1034562068965517,	0.1034562068965517
94,	+2.5737044216109728e-01,	-1.4462153905669852e-02,	+1.4916125235211697e-01,	0.1379382758620690,	0.1034562068965517
95,	+2.5728322979547974e-01,	-1.5936850828051633e-02,	+1.5208414376667542e-01,	0.1724203448275863,	0.1034562068965517
96,	+2.5716907376867354e-01,	-1.7682022418751834e-02,	+1.5499174935354604e-01,	0.2069024137931035,	0.1034562068965517
97,	+2.5701493951624188e-01,	-1.9795182282600771e-02,	+1.5793404147640430e-01,	0.2413844827586207,	0.1034562068965517
98,	+2.5680469534270312e-01,	-2.2356635540805126e-02,	+1.6089797321924529e-01,	0.2758665517241380,	0.1034562068965517
99,	+2.5651927455677093e-01,	-2.5422009547509106e-02,	+1.6382705736641376e-01,	0.3103486206896552,	0.1034562068965517
100,	+2.5614014503155458e-01,	-2.8992927990117972e-02,	+1.6668094436299996e-01,	0.3448306896551725,	0.1034562068965517
101,	+2.5564866951602527e-01,	-3.3046328540199621e-02,	+1.6944159350456728e-01,	0.3793127586206897,	0.1034562068965517
102,	+2.5501586529233977e-01,	-3.7618485461982619e-02,	+1.7213331268442017e-01,	0.4137948275862069,	0.1034562068965517
103,	+2.5408984945489965e-01,	-4.3434148896252918e-02,	+1.7493124174506566e-01,	0.4482768965517242,	0.1034562068965517
104,	+2.5298724267904299e-01,	-4.9453091332783687e-02,	+1.7767265000811769e-01,	0.4827589655172415,	0.1034562068965517
105,	+2.5307575417536637e-01,	-4.8997893113361564e-02,	+1.7874664368020315e-01,	0.5172410344827587,	0.1034562068965517
106,	+2.5424721362351116e-01,	-4.2502797078635683e-02,	+1.7701826936590012e-01,	0.5517231034482759,	0.1034562068965517
107,	+2.5521721869324376e-01,	-3.6226415087173489e-02,	+1.7504841233598181e-01,	0.5862051724137931,	0.1034562068965517
108,	+2.5589920473866967e-01,	-3.1045478428744104e-02,	+1.7329462626561168e-01,	0.6206872413793104,	0.1034562068965517
109,	+2.5643898982108149e-01,	-2.6216706385823112e-02,	+1.7147478910310476e-01,	0.6551693103448276,	0.1034562068965517
110,	+2.5686791535685349e-01,	-2.1614305595261153e-02,	+1.6957163893781679e-01,	0.6896513793103449,	0.1034562068965517
111,	+2.5720205784785932e-01,	-1.7188302957253675e-02,	+1.6753992017621691e-01,	0.7241334482758621,	0.1034562068965517
112,	+2.5745206817376620e-01,	-1.2915555622716681e-02,	+1.6527884913092303e-01,	0.7586155172413794,	0.1034562068965517
113,	+2.5762417165863044e-01,	-8.8442369898907060e-03,	+1.6262274975636931e-01,	0.7930975862068966,	0.1034562068965517
114,	+2.5772470193768254e-01,	-5.1460405444215332e-03,	+1.5939868643513602e-01,	0.8275796551724138,	0.1034562068965517
115,	+2.5776734059481154e-01,	-2.1389071237667744e-03,	+1.5546515698174077e-01,	0.8620617241379311,	0.1034562068965517
116,	+2.5777624021362150e-01,	-2.7645276418686098e-04,	+1.5084299144861005e-01,	0.8965437931034483,	0.1034562068965517
117,	+2.5777652658119526e-01,	-1.7951980540484405e-04,	+1.4539040807052842e-01,	0.9310258620689656,	0.1034562068965517
118,	+2.5776395796367230e-01,	-2.5751100572257201e-03,	+1.3879030455117039e-01,	0.9655079310344828,	0.1034562068965517
119,	+2.5770017952434521e-01,	-6.2916743081486842e-03,	+1.3499593327936224e-01,	0.9999900000000000,	0.1034562068965517
120,	+2.6028686538853912e-01,	-6.2936067353892948e-03,	+1.3499591381026188e-01,	0.0000100000000000,	0.1379382758620690
121,	+2.6019617134949102e-01,	-9.3143640703772790e-03,	+1.3784748121727633e-01,	0.0344920689655173,	0.1379382758620690
122,	+2.6010150750039351e-01,	-1.1658723202411065e-02,	+1.4255529957223140e-01,	0.0689741379310345,	0.1379382758620690
123,	+2.6003053929569786e-01,	-1.3144372044298214e-02,	+1.4611238439919161e-01,	0.1034562068965517,	0.1379382758620690
124,	+2.5996046635191045e-01,	-1.4462230176985655e-02,	+1.4916129702099304e-01,	0.1379382758620690,	0.1379382758620690
125,	+2.5987411972983654e-01,	-1.5937026484659278e-02,	+1.5208423164922863e-01,	0.1724203448275863,	0.1379382758620690
126,	+2.5976109396873165e-01,	-1.7682348207359262e-02,	+1.5499188020376653e-01,	0.2069024137931035,	0.1379382758620690
127,	+2.5960848294495559e-01,	-1.9795719849963776e-02,	+1.5793420159489666e-01,	0.2413844827586207,	0.1379382758620690
128,	+2.5940031465923058e-01,	-2.2357451599834190e-02,	+1.6089815363071655e-01,	0.2758665517241380,	0.1379382758620690
129,	+2.5911771165941161e-01,	-2.5423179935004241e-02,	+1.6382726859331895e-01,	0.3103486206896552,	0.1379382758620690
130,	+2.5874232454159496e-01,	-2.8994561645470911e-02,	+1.6668121185065884e-01,	0.3448306896551725,	0.1379382758620690
131,	+2.5825569810096966e-01,	-3.3048590061799409e-02,	+1.6944194324269762e-01,	0.3793127586206897,	0.1379382758620690
132,	+2.5762913002170573e-01,	-3.7621638519096043e-02,	+1.7213373803015064e-01,	0.4137948275862069,	0.1379382758620690
133,	+2.5671221304890662e-01,	-4.3438835271712044e-02,	+1.7493157722100641e-01,	0.4482768965517242,	0.1379382758620690
134,	+2.5562039870736325e-01,	-4.9459906217027297e-02,	+1.7767269525339818e-01,	0.4827589655172415,	0.1379382758620690
135,	+2.5570804176247874e-01,	-4.9004552888211143e-02,	+1.7874666717252213e-01,	0.5172410344827587,	0.1379382758620690
136,	+2.5686802113428514e-01,	-4.2507294768107287e-02,	+1.7701846672904600e-01,	0.5517231034482759,	0.1379382758620690
137,	+2.5782848654161844e-01,	-3.6229398466165665e-02,	+1.7504862846955499e-01,	0.5862051724137931,	0.1379382758620690
138,	+2.5850374987598557e-01,	-3.1047559916608940e-02,	+1.7329477798060222e-01,	0.6206872413793104,	0.1379382758620690
139,	+2.5903821003143890e-01,	-2.6218140727260676e-02,	+1.7147492618862223e-01,	0.6551693103448276,	0.1379382758620690
140,	+2.5946290151689727e-01,	-2.1615267913845188e-02,	+1.6957179373350492e-01,	0.6896513793103449,	0.1379382758620690
141,	+2.5979374272521122e-01,	-1.7188931723458600e-02,	+1.6754009643412723e-01,	0.7241334482758621,	0.1379382758620690
142,	+2.6004128028586104e-01,	-1.2915963327282292e-02,	+1.6527903228079049e-01,	0.7586155172413794,	0.1379382758620690
143,	+2.6021167972162351e-01,	-8.8445018665005010e-03,	+1.6262293084019780e-01,	0.7930975862068966,	0.1379382758620690
144,	+2.6031121296817050e-01,	-5.1462112240628537e-03,	+1.5939885897692879e-01,	0.8275796551724138,	0.1379382758620690
145,	+2.6035342640562026e-01,	-2.1390127674960450e-03,	+1.5546530795921876e-01,	0.8620617241379311,	0.1379382758620690
146,	+2.6036223357406435e-01,	-2.7652141436877205e-04,	+1.5084310436450363e-01,	0.8965437931034483,	0.1379382758620690
147,	+2.6036251141399436e-01,	-1.7957301367231852e-04,	+1.4539047070908692e-01,	0.9310258620689656,	0.1379382758620690
148,	+2.6035006052947035e-01,	-2.5751323224840928e-03,	+1.3879032234867228e-01,	0.9655079310344828,	0.1379382758620690
149,	+2.6028691170658536e-01,	-6.2916866564696897e-03,	+1.3499593327876203e-01,	0.9999900000000000,	0.1379382758620690
150,	+2.6287358302770947e-01,	-6.2936187328977425e-03,	+1.3499591381047640e-01,	0.0000100000000000,	0.1724203448275863
151,	+2.6278378466378438e-01,	-9.3143755528357353e-03,	+1.3784747838768363e-01,	0.0344920689655173,	0.1724203448275863
152,	+2.6269005842919912e-01,	-1.1658730018233403e-02,	+1.4255529969239927e-01,	0.0689741379310345,	0.1724203448275863
153,	+2.6261979278796144e-01,	-1.3144392974679710e-02,	+1.4611240238192572e-01,	0.1034562068965517,	0.1724203448275863
154,	+2.6255041098273724e-01,	-1.4462306811636008e-02,	+1.4916134168802786e-01,	0.1379382758620690,	0.1724203448275863
155,	+2.6246491296284696e-01,	-1.5937204250141879e-02,	+1.5208430708437928e-01,	0.1724203448275863,	0.1724203448275863
156,	+2.6235299574147336e-01,	-1.7682667545094968e-02,	+1.5499198777923309e-01,	0.2069024137931035,	0.1724203448275863
157,	+2.6220187990978605e-01,	-1.9796224171050328e-02,	+1.5793434193289449e-01,	0.2413844827586207,	0.1724203448275863
158,	+2.6199574965279954e-01,	-2.2358199660800191e-02,	+1.6089832409399182e-01,	0.2758665517241380,	0.1724203448275863
159,	+2.6171591150367224e-01,	-2.5424258566420398e-02,	+1.6382746380631158e-01,	0.3103486206896552,	0.1724203448275863
160,	+2.6134419486422533e-01,	-2.8996089570272873e-02,	+1.6668143756462744e-01,	0.3448306896551725,	0.1724203448275863
161,	+2.6086232369763851e-01,	-3.3050730939418342e-02,	+1.6944221845606891e-01,	0.3793127586206897,	0.1724203448275863
162,	+2.6024187243782770e-01,	-3.7624639456695474e-02,	+1.7213407739103362e-01,	0.4137948275862069,	0.1724203448275863
163,	+2.5933388284550651e-01,	-4.3443306286593153e-02,	+1.7493185378482082e-01,	0.4482768965517242,	0.1724203448275863
164,	+2.5825265973663297e-01,	-4.9466420490720760e-02,	+1.7767273381327325e-01,	0.4827589655172415,	0.1724203448275863
165,	+2.5833945106769923e-01,	-4.9010916228780621e-02,	+1.7874668546220843e-01,	0.5172410344827587,	0.1724203448275863
166,	+2.5948816619148402e-01,	-4.2511575886426546e-02,	+1.7701862195293738e-01,	0.5517231034482759,	0.1724203448275863
167,	+2.6043927410127260e-01,	-3.6232213192971291e-02,	+1.7504880493986283e-01,	0.5862051724137931,	0.1724203448275863
168,	+2.6110794369345086e-01,	-3.1049499426365607e-02,	+1.7329490749458437e-01,	0.6206872413793104,	0.1724203448275863
169,	+2.6163717993110130e-01,	-2.6219462497463181e-02,	+1.7147503913492024e-01,	0.6551693103448276,	0.1724203448275863
170,	+2.6205771730533994e-01,	-2.1616146261777505e-02,	+1.6957191593502485e-01,	0.6896513793103449,	0.1724203448275863
171,	+2.6238531981349739e-01,	-1.7189498145212669e-02,	+1.6754023673128704e-01,	0.7241334482758621,	0.1724203448275863
172,	+2.6263043183784013e-01,	-1.2916320379713107e-02,	+1.6527918492922714e-01,	0.7586155172413794,	0.1724203448275863
173,	+2.6279915966028683e-01,	-8.8447253493683323e-03,	+1.6262308686907703e-01,	0.7930975862068966,	0.1724203448275863
174,	+2.6289771460080563e-01,	-5.1463524834313660e-03,	+1.5939900776034352e-01,	0.8275796551724138,	0.1724203448275863
175,	+2.6293951063169746e-01,	-2.1391021980160423e-03,	+1.5546543665045723e-01,	0.8620617241379311,	0.1724203448275863
176,	+2.6294822692009212e-01,	-2.7657806456700797e-04,	+1.5084320068260573e-01,	0.8965437931034483,	0.1724203448275863
177,	+2.6294849624750077e-01,	-1.7960844844949810e-04,	+1.4539052659940649e-01,	0.9310258620689656,	0.1724203448275863
178,	+2.6293616068460984e-01,	-2.5751443034041041e-03,	+1.3879033982904698e-01,	0.9655079310344828,	0.1724203448275863
179,	+2.6287362889036570e-01,	-6.2916986422367309e-03,	+1.3499593327875922e-01,	0.9999900000000000,	0.1724203448275863
180,	+2.6546028609766026e-01,	-6.2936303818462358e-03,	+1.3499591381013124e-01,	0.0000100000000000,	0.2069024137931035
181,	+2.6537136503570041e-01,	-9.3144147911911317e-03,	+1.3784747171715714e-01,	0.0344920689655173,	0.2069024137931035
182,	+2.6527855725328425e-01,	-1.1658781445221950e-02,	+1.4255529630506214e-01,	0.0689741379310345,	0.2069024137931035
183,	+2.6520898168104590e-01,	-1.3144430519664393e-02,	+1.4611242225649337e-01,	0.1034562068965517,	0.2069024137931035
184,	+2.6514027830324244e-01,	-1.4462385310109460e-02,	+1.4916138551850103e-01,	0.1379382758620690,	0.2069024137931035
185,	+2.6505561237289266e-01,	-1.5937383412152901e-02,	+1.5208437150196000e-01,	0.1724203448275863,	0.2069024137931035
186,	+2.6494478264435029e-01,	-1.7682979204030818e-02,	+1.5499207549068159e-01,	0.2069024137931035,	0.2069024137931035
187,	+2.6479513459347287e-01,	-1.9796696860009125e-02,	+1.5793446508428174e-01,	0.2413844827586207,	0.2069024137931035
188,	+2.6459100524635165e-01,	-2.2358885661709359e-02,	+1.6089848494840350e-01,	0.2758665517241380,	0.2069024137931035
189,	+2.6431388030569669e-01,	-2.5425253567654158e-02,	+1.6382764369848535e-01,	0.3103486206896552,	0.2069024137931035
190,	+2.6394576423842309e-01,	-2.8997520012582042e-02,	+1.6668162579177509e-01,	0.3448306896551725,	0.2069024137931035
191,	+2.6346855726106727e-01,	-3.3052759210392135e-02,	+1.6944242796115036e-01,	0.3793127586206897,	0.2069024137931035
192,	+2.6285410671112164e-01,	-3.7627498120628607e-02,	+1.7213434026421781e-01,	0.4137948275862069,	0.2069024137931035
193,	+2.6195487734769790e-01,	-4.3447576039635200e-02,	+1.7493207710855771e-01,	0.4482768965517242,	0.2069024137931035
194,	+2.6088404926620096e-01,	-4.9472653212396876e-02,	+1.7767276613529673e-01,	0.4827589655172415,	0.2069024137931035
195,	+2.6097000515707863e-01,	-4.9017001893053136e-02,	+1.7874669924996781e-01,	0.5172410344827587,	0.2069024137931035
196,	+2.6210766639873168e-01,	-4.2515654447822154e-02,	+1.7701874057676573e-01,	0.5517231034482759,	0.2069024137931035
197,	+2.6304959400229527e-01,	-3.6234871433104235e-02,	+1.7504894640714924e-01,	0.5862051724137931,	0.2069024137931035
198,	+2.6371179524645882e-01,	-3.1051308471030156e-02,	+1.7329501673742417e-01,	0.6206872413793104,	0.2069024137931035
199,	+2.6423590596696023e-01,	-2.6220681175856190e-02,	+1.7147513030360284e-01,	0.6551693103448276,	0.2069024137931035
200,	+2.6465236716286905e-01,	-2.1616947632267534e-02,	+1.6957200926401089e-01,	0.6896513793103449,	0.2069024137931035
201,	+2.6497679193628748e-01,	-1.7190007451794154e-02,	+1.6754034519889097e-01,	0.7241334482758621,	0.2069024137931035
202,	+2.6521952437244983e-01,	-1.2916631520934009e-02,	+1.6527931015188102e-01,	0.7586155172413794,	0.2069024137931035
203,	+2.6538661215478354e-01,	-8.8449117117830513e-03,	+1.6262321999119958e-01,	0.7930975862068966,	0.2069024137931035
204,	+2.6548420705198067e-01,	-5.1464673247248391e-03,	+1.5939913488477761e-01,	0.8275796551724138,	0.2069024137931035
205,	+2.6552559330893305e-01,	-2.1391766928800407e-03,	+1.5546554524786166e-01,	0.8620617241379311,	0.2069024137931035
206,	+2.6553422025104695e-01,	-2.7662366550009360e-04,	+1.5084328209929515e-01,	0.8965437931034483,	0.2069024137931035
207,	+2.6553448108010286e-01,	-1.7962841695992856e-04,	+1.4539057628556548e-01,	0.9310258620689656,	0.2069024137931035
208,	+2.6552225848489647e-01,	-2.5751475106595280e-03,	+1.3879035689699565e-01,	0.9655079310344828,	0.2069024137931035
209,	+2.6546033151380016e-01,	-6.2917102795286744e-03,	+1.3499593327927881e-01,	0.9999900000000000,	0.2069024137931035
210,	+2.6804697501986474e-01,	-6.2936416955992752e-03,	+1.3499591380930767e-01,	0.0000100000000000,	0.2413844827586207
211,	+2.6795891358076823e-01,	-9.3144771480560759e-03,	+1.3784746185602056e-01,	0.0344920689655173,	0.2413844827586207
212,	+2.6786700576286127e-01,	-1.1658871055847628e-02,	+1.4255528966905043e-01,	0.0689741379310345,	0.2413844827586207
213,	+2.6779810786118857e-01,	-1.3144484424612891e-02,	+1.4611244274506335e-01,	0.1034562068965517,	0.2413844827586207
214,	+2.6773007047637987e-01,	-1.4462467165277194e-02,	+1.4916142767808349e-01,	0.1379382758620690,	0.2413844827586207
215,	+2.6764622072742517e-01,	-1.5937563248079316e-02,	+1.5208442633253577e-01,	0.1724203448275863,	0.2413844827586207
216,	+2.6753645809775040e-01,	-1.7683281942259235e-02,	+1.5499214674970357e-01,	0.2069024137931035,	0.2413844827586207
