#axial coordinate,	p,	T,	p_t,	T_t,	ds,	alpha,	Mach,	flux
   -8.194194e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   -2.723592e-10	   +2.354831e-01	   +9.862274e+01
   -8.171171e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   -3.249045e-10	   +2.354831e-01	   +9.862275e+01
   -8.148148e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   -3.807692e-10	   +2.354831e-01	   +9.862276e+01
   -8.125125e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   -4.399531e-10	   +2.354831e-01	   +9.862277e+01
   -8.102102e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   -5.024562e-10	   +2.354831e-01	   +9.862277e+01
   -8.079079e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   -5.682787e-10	   +2.354831e-01	   +9.862278e+01
   -8.056056e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   -6.374204e-10	   +2.354831e-01	   +9.862279e+01
   -8.033033e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   -7.098814e-10	   +2.354831e-01	   +9.862279e+01
   -8.010010e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   -7.856619e-10	   +2.354832e-01	   +9.862280e+01
   -7.986987e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   -8.647615e-10	   +2.354832e-01	   +9.862281e+01
   -7.963964e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   -9.471807e-10	   +2.354832e-01	   +9.862281e+01
   -7.940941e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   -1.032919e-09	   +2.354832e-01	   +9.862282e+01
   -7.917918e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   -1.121977e-09	   +2.354832e-01	   +9.862283e+01
   -7.894895e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   -1.012149e-09	   +2.354832e-01	   +9.862282e+01
   -7.871872e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   -7.963749e-10	   +2.354832e-01	   +9.862281e+01
   -7.848849e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   -5.875364e-10	   +2.354831e-01	   +9.862279e+01
   -7.825826e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   -3.856343e-10	   +2.354831e-01	   +9.862278e+01
   -7.802803e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   -1.906681e-10	   +2.354831e-01	   +9.862277e+01
   -7.779780e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   -2.638079e-12	   +2.354831e-01	   +9.862275e+01
   -7.756757e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   +1.784557e-10	   +2.354830e-01	   +9.862274e+01
   -7.733734e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   +3.526138e-10	   +2.354830e-01	   +9.862273e+01
   -7.710711e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +5.198360e-10	   +2.354830e-01	   +9.862271e+01
   -7.687688e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +6.801223e-10	   +2.354830e-01	   +9.862270e+01
   -7.664665e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +8.334729e-10	   +2.354829e-01	   +9.862269e+01
   -7.641642e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +9.798877e-10	   +2.354829e-01	   +9.862267e+01
   -7.618619e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +1.119367e-09	   +2.354829e-01	   +9.862266e+01
   -7.595596e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +1.251911e-09	   +2.354829e-01	   +9.862265e+01
   -7.572573e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +1.377519e-09	   +2.354828e-01	   +9.862263e+01
   -7.549550e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +1.496191e-09	   +2.354828e-01	   +9.862262e+01
   -7.526527e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +1.607928e-09	   +2.354828e-01	   +9.862260e+01
   -7.503504e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +1.712729e-09	   +2.354828e-01	   +9.862259e+01
   -7.480480e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +1.810596e-09	   +2.354827e-01	   +9.862258e+01
   -7.457457e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +1.901527e-09	   +2.354827e-01	   +9.862256e+01
   -7.434434e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +1.985523e-09	   +2.354827e-01	   +9.862255e+01
   -7.411411e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +2.062584e-09	   +2.354827e-01	   +9.862254e+01
   -7.388388e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +2.132710e-09	   +2.354826e-01	   +9.862252e+01
   -7.365365e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +2.195900e-09	   +2.354826e-01	   +9.862251e+01
   -7.342342e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +2.252155e-09	   +2.354826e-01	   +9.862249e+01
   -7.319319e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.301477e-09	   +2.354825e-01	   +9.862248e+01
   -7.296296e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.343863e-09	   +2.354825e-01	   +9.862247e+01
   -7.273273e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.379314e-09	   +2.354825e-01	   +9.862245e+01
   -7.250250e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.407830e-09	   +2.354825e-01	   +9.862244e+01
