#axial coordinate,	p,	T,	p_t,	T_t,	ds,	alpha,	Mach,	flux
   +7.230769e-02	   +1.272610e+05	   +3.529773e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +1.733576e-13	   +3.691649e-01	   +1.558230e+02
   +7.307692e-02	   +1.272610e+05	   +3.529773e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +1.829407e-13	   +3.691648e-01	   +1.558230e+02
   +7.384615e-02	   +1.272610e+05	   +3.529773e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +1.925238e-13	   +3.691648e-01	   +1.558230e+02
   +7.461538e-02	   +1.272610e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.021069e-13	   +3.691647e-01	   +1.558230e+02
   +7.538462e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.116900e-13	   +3.691647e-01	   +1.558230e+02
   +7.615385e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.212731e-13	   +3.691646e-01	   +1.558230e+02
   +7.692308e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.308562e-13	   +3.691646e-01	   +1.558230e+02
   +7.769231e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.366579e-13	   +3.691646e-01	   +1.558230e+02
   +7.846154e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.396720e-13	   +3.691646e-01	   +1.558230e+02
   +7.923077e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.426861e-13	   +3.691646e-01	   +1.558230e+02
   +8.000000e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.457002e-13	   +3.691646e-01	   +1.558230e+02
   +8.076923e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.487143e-13	   +3.691646e-01	   +1.558230e+02
   +8.153846e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.517284e-13	   +3.691646e-01	   +1.558230e+02
   +8.230769e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.547424e-13	   +3.691646e-01	   +1.558230e+02
   +8.307692e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.577565e-13	   +3.691646e-01	   +1.558230e+02
   +8.384615e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.607706e-13	   +3.691646e-01	   +1.558230e+02
   +8.461538e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.637847e-13	   +3.691646e-01	   +1.558230e+02
   +8.538462e-02	   +1.272610e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.667988e-13	   +3.691646e-01	   +1.558230e+02
   +8.615385e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.692829e-13	   +3.691645e-01	   +1.558230e+02
   +8.692308e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.715296e-13	   +3.691645e-01	   +1.558230e+02
   +8.769231e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.737763e-13	   +3.691645e-01	   +1.558230e+02
   +8.846154e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.760230e-13	   +3.691645e-01	   +1.558230e+02
   +8.923077e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.782697e-13	   +3.691645e-01	   +1.558230e+02
   +9.000000e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.805163e-13	   +3.691645e-01	   +1.558230e+02
   +9.076923e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.827630e-13	   +3.691645e-01	   +1.558230e+02
   +9.153846e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.850097e-13	   +3.691645e-01	   +1.558230e+02
   +9.230769e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.872564e-13	   +3.691645e-01	   +1.558230e+02
   +9.307692e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.895031e-13	   +3.691645e-01	   +1.558230e+02
   +9.384615e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.917498e-13	   +3.691644e-01	   +1.558230e+02
   +9.461538e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.939965e-13	   +3.691644e-01	   +1.558230e+02
   +9.538462e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.962432e-13	   +3.691644e-01	   +1.558230e+02
